polar and equatorial radii for Neptune's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the symmetric Voyager wind profile from Tollefson et al. (2018, Icarus 311) Table 1.
the polar and equatorial radii in this file come from random draws in j2 and j4 from the Jacobson (2009, AJ 137) error ellipsoid,
followed by direct integration of Equation (3) from the Voyager 2 occultation point reported in Lindal (1992, AJ 103) to either the equator or the pole.
index         r_pol_km          r_eq_km               j2               j4               j6
   68      24283.45552      24763.57569   3.50911245e-03  -3.57753723e-05   2.43470420e-06
   69      24283.48543      24763.55035   3.50972169e-03  -3.51298421e-05   3.99876613e-07
   70      24283.52536      24763.55906   3.50882618e-03  -3.59761626e-05   8.44316357e-07
   71      24283.47236      24763.55920   3.50961764e-03  -3.51674205e-05   1.34167159e-06
   72      24283.49664      24763.56126   3.50923769e-03  -3.57103103e-05   9.78246402e-07
   73      24283.43925      24763.57284   3.50946425e-03  -3.53795987e-05   2.45161682e-06
   74      24283.59015      24763.54711   3.50875326e-03  -3.62453727e-05  -7.73903117e-07
   75      24283.49033      24763.55764   3.50945630e-03  -3.54302261e-05   8.81135535e-07
   76      24283.48508      24763.56149   3.50965633e-03  -3.52064312e-05   1.41840616e-06
   77      24283.42184      24763.55570   3.51004067e-03  -3.45624284e-05   1.62997315e-06
   78      24283.44416      24763.57280   3.50950565e-03  -3.54517298e-05   2.22869828e-06
   79      24283.48485      24763.56790   3.50926626e-03  -3.56959627e-05   1.60362142e-06
   80      24283.56077      24763.52732   3.50937672e-03  -3.53021124e-05  -1.65411728e-06
   81      24283.54966      24763.54676   3.50913713e-03  -3.56718597e-05  -1.84089120e-07
   82      24283.56669      24763.56169   3.50856137e-03  -3.64065540e-05   5.94273800e-07
   83      24283.43213      24763.56366   3.50970028e-03  -3.50484246e-05   1.89396215e-06
   84      24283.42125      24763.56031   3.50997594e-03  -3.47341643e-05   1.80922569e-06
   85      24283.57022      24763.55734   3.50833065e-03  -3.65030944e-05   3.27108732e-07
   86      24283.55302      24763.54223   3.50929120e-03  -3.56096488e-05  -7.33850031e-07
   87      24283.49968      24763.57040   3.50884764e-03  -3.60375286e-05   1.77571829e-06
   88      24283.37423      24763.53725   3.50924155e-03  -3.55534802e-05  -1.01938015e-06
   89      24283.49613      24763.54281   3.50971151e-03  -3.49987384e-05  -3.03974223e-08
   90      24283.48203      24763.55817   3.50938274e-03  -3.53392342e-05   1.24387751e-06
   91      24283.51448      24763.55478   3.50905161e-03  -3.56937587e-05   6.76478131e-07
   92      24283.42468      24763.59006   3.50927344e-03  -3.56555885e-05   3.82599620e-06
   93      24283.52645      24763.55793   3.50896153e-03  -3.59180824e-05   6.43606404e-07
   94      24283.54037      24763.55810   3.50876047e-03  -3.61198113e-05   5.44407164e-07
   95      24283.45831      24763.55699   3.50971304e-03  -3.51537082e-05   1.00526046e-06
   96      24283.50062      24763.57610   3.50866604e-03  -3.62242841e-05   2.21753643e-06
   97      24283.48429      24763.58171   3.50870185e-03  -3.61890111e-05   2.77952587e-06
   98      24283.43004      24763.56727   3.50959403e-03  -3.51706692e-05   2.15281591e-06
   99      24283.40836      24763.57117   3.50980826e-03  -3.49736858e-05   2.61652902e-06
  100      24283.46094      24763.56799   3.50944156e-03  -3.54143033e-05   1.93942408e-06
  101      24283.49682      24763.55365   3.50913800e-03  -3.54759990e-05   8.99784444e-07
  102      24283.47575      24763.54606   3.50994603e-03  -3.48365024e-05   2.59118758e-07
  103      24283.43119      24763.58023   3.50930824e-03  -3.54781244e-05   3.20396123e-06
  104      24283.56183      24763.56156   3.50890210e-03  -3.59751782e-05   9.69248532e-07
  105      24283.48846      24763.57624   3.50886317e-03  -3.60973390e-05   2.19210724e-06
  106      24283.49039      24763.55576   3.50948725e-03  -3.52790213e-05   9.74563282e-07
  107      24283.46957      24763.56257   3.50941832e-03  -3.54182409e-05   1.44331193e-06
  108      24283.44182      24763.53813   3.51048668e-03  -3.41920649e-05   2.18126984e-08
  109      24283.51671      24763.54999   3.50934384e-03  -3.54937662e-05   1.81272902e-07
  110      24283.49044      24763.55659   3.50957116e-03  -3.53817735e-05   6.99886671e-07
  111      24283.44588      24763.56170   3.50974220e-03  -3.50557814e-05   1.62437481e-06
  112      24283.48789      24763.54386   3.50980701e-03  -3.49221656e-05   8.35686573e-08
  113      24283.61019      24763.54252   3.50867902e-03  -3.63425842e-05  -1.31147656e-06
  114      24283.54535      24763.55823   3.50871677e-03  -3.61911703e-05   4.73403081e-07
  115      24283.51484      24763.57041   3.50859672e-03  -3.62821612e-05   1.64745851e-06
  116      24283.49265      24763.56346   3.50907958e-03  -3.57192509e-05   1.41887251e-06
  117      24283.53600      24763.55756   3.50896118e-03  -3.59391805e-05   5.62036332e-07
  118      24283.49444      24763.57457   3.50885729e-03  -3.61329741e-05   1.96297508e-06
  119      24283.56714      24763.54597   3.50880980e-03  -3.60577837e-05  -5.69827537e-07
  120      24283.50264      24763.56226   3.50890677e-03  -3.58610924e-05   1.27183655e-06
  121      24283.44119      24763.57409   3.50929819e-03  -3.54608937e-05   2.65933228e-06
  122      24283.47734      24763.55401   3.50942818e-03  -3.53130936e-05   8.23869572e-07
  123      24283.49470      24763.56238   3.50927070e-03  -3.55707744e-05   1.33230195e-06
  124      24283.49967      24763.54677   3.50954724e-03  -3.52423496e-05   8.86979887e-08
  125      24283.53325      24763.55185   3.50911330e-03  -3.58474425e-05  -3.12614025e-08
  126      24283.54010      24763.54833   3.50897093e-03  -3.58299644e-05  -1.09575802e-07
