polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the composite asymmetric wind profile from Sromovsky et al. (2015, Icarus 258) Section 4.5 and Table 6.
the distribution of models in this file comes from Markov chain Monte Carlo fits to the pair of Voyager 2 radio occultations reported in Lindal et al. 1987.
index   r_pol_north_km   r_pol_south_km          r_eq_km              lnp
 3987        24972.483        24967.105        25560.279       -4.090e-01
 3988        24968.000        24962.626        25555.486       -1.164e-01
 3989        24970.353        24964.977        25558.002       -4.111e-02
 3990        24969.350        24963.974        25556.929       -1.137e-02
 3991        24972.483        24967.105        25560.279       -4.090e-01
 3992        24968.478        24963.103        25555.997       -6.022e-02
 3993        24971.115        24965.739        25558.817       -1.252e-01
 3994        24969.457        24964.083        25557.043       -1.016e-02
 3995        24972.119        24966.740        25559.890       -3.168e-01
 3996        24969.719        24964.344        25557.324       -1.162e-02
 3997        24973.815        24968.436        25561.703       -8.499e-01
 3998        24967.976        24962.601        25555.460       -1.198e-01
 3999        24975.674        24970.293        25563.690       -1.736e+00
 4000        24969.186        24963.809        25556.753       -1.526e-02
 4001        24972.702        24967.323        25560.513       -4.704e-01
 4002        24968.502        24963.128        25556.023       -5.788e-02
 4003        24975.674        24970.293        25563.690       -1.736e+00
 4004        24968.532        24963.157        25556.054       -5.518e-02
 4005        24970.675        24965.298        25558.346       -7.017e-02
 4006        24968.499        24963.123        25556.019       -5.824e-02
 4007        24975.674        24970.293        25563.690       -1.736e+00
 4008        24962.197        24956.828        25549.283       -2.463e+00
 4009        24971.381        24966.005        25559.101       -1.669e-01
 4010        24966.971        24961.597        25554.386       -3.083e-01
 4011        24975.674        24970.293        25563.690       -1.736e+00
 4012        24964.374        24959.002        25551.610       -1.223e+00
 4013        24967.674        24962.299        25555.137       -1.669e-01
 4014        24967.714        24962.339        25555.180       -1.601e-01
 4015        24975.674        24970.293        25563.690       -1.736e+00
 4016        24964.253        24958.882        25551.481       -1.280e+00
 4017        24967.658        24962.283        25555.120       -1.695e-01
 4018        24967.739        24962.365        25555.208       -1.559e-01
 4019        24971.157        24965.781        25558.862       -1.314e-01
 4020        24963.064        24957.694        25550.210       -1.918e+00
 4021        24967.812        24962.438        25555.285       -1.443e-01
 4022        24969.838        24964.461        25557.450       -1.434e-02
 4023        24971.157        24965.781        25558.862       -1.314e-01
 4024        24964.623        24959.252        25551.876       -1.108e+00
 4025        24968.216        24962.842        25555.718       -8.838e-02
 4026        24969.838        24964.461        25557.450       -1.434e-02
 4027        24970.268        24964.892        25557.911       -3.506e-02
 4028        24962.398        24957.029        25549.498       -2.331e+00
 4029        24969.801        24964.425        25557.411       -1.336e-02
 4030        24969.838        24964.461        25557.450       -1.434e-02
 4031        24970.267        24964.891        25557.910       -3.497e-02
 4032        24965.564        24960.192        25552.882       -7.272e-01
 4033        24969.758        24964.382        25557.366       -1.237e-02
 4034        24969.864        24964.487        25557.478       -1.510e-02
 4035        24970.706        24965.330        25558.379       -7.344e-02
 4036        24967.037        24961.664        25554.457       -2.930e-01
 4037        24969.744        24964.368        25557.351       -1.208e-02
 4038        24969.597        24964.221        25557.193       -1.015e-02
 4039        24970.454        24965.078        25558.110       -4.919e-02
 4040        24966.598        24961.225        25553.987       -4.017e-01
 4041        24969.496        24964.120        25557.085       -9.975e-03
 4042        24969.597        24964.221        25557.193       -1.015e-02
 4043        24970.228        24964.852        25557.868       -3.239e-02
 4044        24967.384        24962.010        25554.828       -2.197e-01
 4045        24969.749        24964.373        25557.356       -1.218e-02
 4046        24969.064        24963.689        25556.624       -1.972e-02
 4047        24970.266        24964.889        25557.909       -3.487e-02
 4048        24967.063        24961.690        25554.484       -2.872e-01
 4049        24969.638        24964.262        25557.237       -1.049e-02
 4050        24968.425        24963.051        25555.941       -6.537e-02
 4051        24970.102        24964.726        25557.733       -2.502e-02
 4052        24968.138        24962.764        25555.634       -9.800e-02
 4053        24969.593        24964.217        25557.189       -1.013e-02
 4054        24968.771        24963.396        25556.310       -3.604e-02
 4055        24969.444        24964.069        25557.031       -1.024e-02
 4056        24967.765        24962.391        25555.235       -1.517e-01
 4057        24970.831        24965.455        25558.513       -8.763e-02
 4058        24968.336        24962.962        25555.845       -7.470e-02
 4059        24969.401        24964.025        25556.984       -1.066e-02
 4060        24967.655        24962.282        25555.118       -1.699e-01
 4061        24970.831        24965.455        25558.513       -8.763e-02
 4062        24968.167        24962.792        25555.664       -9.443e-02
 4063        24969.397        24964.022        25556.980       -1.070e-02
 4064        24967.774        24962.399        25555.244       -1.504e-01
 4065        24972.034        24966.657        25559.799       -2.971e-01
 4066        24968.495        24963.120        25556.015       -5.861e-02
 4067        24969.143        24963.768        25556.708       -1.666e-02
 4068        24964.015        24958.644        25551.226       -1.398e+00
 4069        24968.136        24962.761        25555.631       -9.834e-02
 4070        24968.495        24963.120        25556.015       -5.861e-02
 4071        24969.166        24963.791        25556.733       -1.588e-02
 4072        24964.015        24958.644        25551.226       -1.398e+00
 4073        24968.307        24962.933        25555.815       -7.786e-02
 4074        24969.817        24964.442        25557.429       -1.379e-02
 4075        24969.466        24964.090        25557.053       -1.010e-02
 4076        24964.015        24958.644        25551.226       -1.398e+00
 4077        24969.137        24963.762        25556.702       -1.687e-02
 4078        24969.497        24964.121        25557.086       -9.973e-03
 4079        24969.277        24963.900        25556.850       -1.282e-02
 4080        24964.015        24958.644        25551.226       -1.398e+00
 4081        24969.120        24963.744        25556.683       -1.753e-02
 4082        24969.325        24963.949        25556.902       -1.180e-02
 4083        24968.927        24963.551        25556.477       -2.639e-02
 4084        24964.767        24959.395        25552.030       -1.045e+00
 4085        24968.167        24962.792        25555.665       -9.440e-02
 4086        24969.241        24963.866        25556.812       -1.368e-02
 4087        24968.187        24962.813        25555.686       -9.196e-02
 4088        24964.767        24959.395        25552.030       -1.045e+00
 4089        24968.160        24962.785        25555.657       -9.527e-02
 4090        24969.407        24964.031        25556.990       -1.059e-02
 4091        24968.179        24962.805        25555.678       -9.290e-02
 4092        24964.767        24959.395        25552.030       -1.045e+00
 4093        24966.916        24961.542        25554.327       -3.214e-01
 4094        24969.521        24964.145        25557.112       -9.932e-03
 4095        24969.233        24963.857        25556.804       -1.389e-02
 4096        24964.767        24959.395        25552.030       -1.045e+00
 4097        24968.962        24963.587        25556.515       -2.449e-02
 4098        24969.552        24964.176        25557.145       -9.960e-03
 4099        24969.196        24963.820        25556.764       -1.494e-02
 4100        24964.767        24959.395        25552.030       -1.045e+00
 4101        24968.557        24963.182        25556.082       -5.288e-02
 4102        24969.387        24964.011        25556.969       -1.083e-02
 4103        24968.764        24963.389        25556.303       -3.651e-02
 4104        24964.767        24959.395        25552.030       -1.045e+00
 4105        24968.739        24963.363        25556.276       -3.834e-02
 4106        24969.575        24964.199        25557.170       -1.004e-02
 4107        24972.351        24966.973        25560.137       -3.741e-01
 4108        24964.767        24959.395        25552.030       -1.045e+00
 4109        24968.774        24963.398        25556.313       -3.586e-02
 4110        24969.506        24964.131        25557.096       -9.952e-03
 4111        24971.629        24966.252        25559.366       -2.117e-01
 4112        24964.767        24959.395        25552.030       -1.045e+00
 4113        24966.836        24961.463        25554.242       -3.406e-01
 4114        24969.643        24964.268        25557.243       -1.055e-02
 4115        24971.980        24966.602        25559.741       -2.847e-01
 4116        24967.154        24961.780        25554.581       -2.673e-01
 4117        24965.365        24959.993        25552.670       -8.009e-01
 4118        24969.643        24964.268        25557.243       -1.055e-02
 4119        24970.575        24965.199        25558.239       -6.015e-02
 4120        24967.164        24961.790        25554.592       -2.650e-01
 4121        24966.792        24961.418        25554.195       -3.516e-01
 4122        24969.700        24964.324        25557.304       -1.131e-02
 4123        24968.801        24963.426        25556.342       -3.402e-02
 4124        24966.518        24961.145        25553.902       -4.233e-01
 4125        24964.924        24959.552        25552.198       -9.776e-01
 4126        24969.697        24964.322        25557.301       -1.126e-02
 4127        24968.347        24962.973        25555.857       -7.355e-02
 4128        24965.927        24960.555        25553.271       -6.017e-01
 4129        24965.941        24960.569        25553.286       -5.971e-01
 4130        24969.809        24964.434        25557.421       -1.358e-02
 4131        24967.716        24962.342        25555.183       -1.597e-01
 4132        24965.524        24960.152        25552.839       -7.418e-01
 4133        24965.950        24960.577        25553.295       -5.943e-01
 4134        24970.841        24965.465        25558.525       -8.893e-02
 4135        24967.716        24962.342        25555.183       -1.597e-01
 4136        24968.118        24962.744        25555.613       -1.006e-01
 4137        24967.155        24961.781        25554.583       -2.669e-01
 4138        24971.665        24966.286        25559.404       -2.186e-01
 4139        24967.837        24962.463        25555.312       -1.403e-01
 4140        24968.318        24962.944        25555.827       -7.664e-02
 4141        24967.436        24962.062        25554.883       -2.096e-01
 4142        24971.561        24966.183        25559.293       -1.988e-01
 4143        24967.712        24962.338        25555.179       -1.603e-01
 4144        24968.690        24963.316        25556.224       -4.189e-02
 4145        24967.207        24961.833        25554.638       -2.559e-01
 4146        24971.767        24966.390        25559.514       -2.392e-01
 4147        24967.762        24962.389        25555.232       -1.521e-01
 4148        24968.540        24963.165        25556.063       -5.445e-02
 4149        24967.098        24961.723        25554.521       -2.796e-01
 4150        24971.767        24966.390        25559.514       -2.392e-01
 4151        24967.461        24962.087        25554.910       -2.049e-01
 4152        24967.943        24962.568        25555.426       -1.245e-01
 4153        24967.098        24961.723        25554.521       -2.796e-01
 4154        24974.145        24968.766        25562.056       -9.842e-01
 4155        24967.016        24961.642        25554.434       -2.980e-01
 4156        24967.718        24962.344        25555.185       -1.593e-01
 4157        24966.859        24961.486        25554.266       -3.350e-01
 4158        24974.145        24968.766        25562.056       -9.842e-01
 4159        24967.016        24961.642        25554.434       -2.980e-01
 4160        24968.108        24962.733        25555.600       -1.020e-01
 4161        24966.137        24960.764        25553.494       -5.349e-01
 4162        24974.145        24968.766        25562.056       -9.842e-01
 4163        24966.673        24961.300        25554.068       -3.819e-01
 4164        24968.108        24962.733        25555.600       -1.020e-01
 4165        24966.538        24961.165        25553.923       -4.179e-01
 4166        24974.145        24968.766        25562.056       -9.842e-01
 4167        24967.079        24961.706        25554.502       -2.836e-01
 4168        24970.836        24965.460        25558.519       -8.832e-02
 4169        24966.161        24960.789        25553.521       -5.273e-01
 4170        24973.674        24968.295        25561.552       -7.953e-01
 4171        24967.399        24962.025        25554.844       -2.168e-01
 4172        24972.666        24967.288        25560.475       -4.602e-01
 4173        24964.855        24959.484        25552.124       -1.007e+00
 4174        24972.573        24967.195        25560.376       -4.339e-01
 4175        24969.078        24963.703        25556.639       -1.913e-02
 4176        24972.705        24967.326        25560.516       -4.711e-01
 4177        24965.350        24959.977        25552.653       -8.068e-01
 4178        24972.438        24967.060        25560.230       -3.969e-01
 4179        24970.016        24964.640        25557.642       -2.089e-02
 4180        24972.627        24967.249        25560.433       -4.489e-01
 4181        24965.350        24959.977        25552.653       -8.068e-01
 4182        24970.953        24965.575        25558.642       -1.027e-01
 4183        24969.177        24963.800        25556.745       -1.552e-02
 4184        24972.777        24967.398        25560.593       -4.922e-01
 4185        24966.215        24960.843        25553.579       -5.107e-01
 4186        24972.242        24966.864        25560.021       -3.465e-01
 4187        24968.697        24963.323        25556.231       -4.138e-02
 4188        24970.876        24965.499        25558.561       -9.306e-02
 4189        24966.520        24961.146        25553.903       -4.231e-01
 4190        24971.862        24966.485        25559.615       -2.590e-01
 4191        24966.647        24961.274        25554.040       -3.886e-01
 4192        24972.994        24967.615        25560.824       -5.588e-01
 4193        24966.520        24961.146        25553.903       -4.231e-01
 4194        24972.719        24967.340        25560.531       -4.754e-01
 4195        24968.220        24962.846        25555.722       -8.793e-02
 4196        24972.154        24966.777        25559.927       -3.252e-01
 4197        24967.894        24962.520        25555.373       -1.317e-01
 4198        24972.719        24967.340        25560.531       -4.754e-01
 4199        24970.294        24964.918        25557.938       -3.680e-02
 4200        24970.706        24965.328        25558.378       -7.336e-02
 4201        24966.102        24960.729        25553.458       -5.456e-01
 4202        24969.683        24964.307        25557.285       -1.104e-02
 4203        24969.190        24963.815        25556.758       -1.513e-02
 4204        24970.553        24965.176        25558.215       -5.802e-02
 4205        24965.933        24960.560        25553.276       -6.000e-01
 4206        24969.546        24964.171        25557.139       -9.949e-03
 4207        24967.840        24962.466        25555.315       -1.399e-01
 4208        24970.553        24965.176        25558.215       -5.802e-02
 4209        24964.362        24958.991        25551.598       -1.228e+00
 4210        24969.041        24963.666        25556.599       -2.071e-02
 4211        24968.466        24963.091        25555.984       -6.134e-02
 4212        24970.827        24965.451        25558.508       -8.714e-02
 4213        24964.458        24959.086        25551.699       -1.184e+00
 4214        24967.569        24962.195        25555.025       -1.851e-01
 4215        24968.006        24962.632        25555.493       -1.156e-01
 4216        24971.118        24965.740        25558.819       -1.255e-01
 4217        24964.458        24959.086        25551.699       -1.184e+00
 4218        24967.569        24962.195        25555.025       -1.851e-01
 4219        24968.311        24962.937        25555.819       -7.740e-02
 4220        24968.077        24962.703        25555.568       -1.060e-01
 4221        24964.458        24959.086        25551.699       -1.184e+00
 4222        24966.675        24961.301        25554.070       -3.815e-01
 4223        24968.890        24963.515        25556.438       -2.847e-02
 4224        24968.146        24962.771        25555.643       -9.700e-02
 4225        24964.821        24959.450        25552.089       -1.021e+00
 4226        24966.474        24961.100        25553.854       -4.358e-01
 4227        24968.374        24962.998        25555.885       -7.071e-02
 4228        24968.205        24962.829        25555.704       -8.988e-02
 4229        24964.821        24959.450        25552.089       -1.021e+00
 4230        24966.780        24961.406        25554.182       -3.546e-01
 4231        24968.087        24962.713        25555.579       -1.046e-01
 4232        24968.149        24962.775        25555.645       -9.669e-02
 4233        24964.821        24959.450        25552.089       -1.021e+00
 4234        24965.441        24960.069        25552.751       -7.723e-01
 4235        24968.098        24962.723        25555.591       -1.032e-01
 4236        24968.054        24962.679        25555.543       -1.091e-01
 4237        24964.345        24958.973        25551.579       -1.236e+00
 4238        24965.981        24960.608        25553.328       -5.843e-01
 4239        24967.287        24961.913        25554.724       -2.391e-01
 4240        24967.585        24962.211        25555.042       -1.822e-01
 4241        24964.497        24959.126        25551.741       -1.165e+00
 4242        24965.981        24960.608        25553.328       -5.843e-01
 4243        24966.955        24961.582        25554.369       -3.120e-01
 4244        24967.108        24961.735        25554.533       -2.771e-01
 4245        24965.476        24960.103        25552.787       -7.596e-01
 4246        24965.219        24959.847        25552.513       -8.575e-01
 4247        24966.463        24961.091        25553.843       -4.386e-01
 4248        24966.545        24961.172        25553.931       -4.161e-01
 4249        24965.791        24960.419        25553.125       -6.472e-01
 4250        24965.178        24959.805        25552.469       -8.738e-01
 4251        24966.384        24961.011        25553.759       -4.610e-01
 4252        24967.073        24961.699        25554.495       -2.850e-01
 4253        24965.328        24959.955        25552.629       -8.153e-01
 4254        24965.536        24960.164        25552.852       -7.374e-01
 4255        24966.302        24960.928        25553.670       -4.852e-01
 4256        24967.402        24962.027        25554.847       -2.162e-01
 4257        24965.127        24959.755        25552.415       -8.943e-01
 4258        24966.258        24960.885        25553.624       -4.980e-01
 4259        24966.868        24961.495        25554.276       -3.329e-01
 4260        24967.153        24961.780        25554.581       -2.672e-01
 4261        24965.185        24959.813        25552.477       -8.710e-01
 4262        24965.850        24960.477        25553.187       -6.276e-01
 4263        24966.594        24961.221        25553.983       -4.029e-01
 4264        24966.901        24961.527        25554.311       -3.249e-01
 4265        24965.322        24959.950        25552.624       -8.173e-01
 4266        24965.190        24959.818        25552.482       -8.692e-01
 4267        24966.598        24961.225        25553.987       -4.018e-01
 4268        24966.899        24961.526        25554.309       -3.254e-01
 4269        24964.664        24959.292        25551.919       -1.090e+00
 4270        24965.190        24959.818        25552.482       -8.692e-01
 4271        24967.561        24962.187        25555.017       -1.865e-01
 4272        24968.409        24963.035        25555.924       -6.698e-02
 4273        24962.827        24957.458        25549.957       -2.060e+00
 4274        24966.609        24961.236        25553.998       -3.991e-01
 4275        24968.210        24962.836        25555.711       -8.909e-02
 4276        24968.364        24962.990        25555.875       -7.171e-02
 4277        24962.827        24957.458        25549.957       -2.060e+00
 4278        24967.050        24961.677        25554.471       -2.902e-01
 4279        24968.921        24963.545        25556.470       -2.672e-02
 4280        24967.217        24961.844        25554.650       -2.535e-01
 4281        24962.827        24957.458        25549.957       -2.060e+00
 4282        24967.008        24961.634        25554.426       -2.998e-01
 4283        24970.236        24964.860        25557.876       -3.288e-02
 4284        24971.179        24965.802        25558.884       -1.346e-01
 4285        24963.212        24957.841        25550.367       -1.831e+00
 4286        24965.165        24959.794        25552.456       -8.788e-01
 4287        24970.054        24964.678        25557.683       -2.264e-02
 4288        24971.081        24965.704        25558.780       -1.202e-01
 4289        24963.212        24957.841        25550.367       -1.831e+00
 4290        24965.165        24959.794        25552.456       -8.788e-01
 4291        24974.262        24968.882        25562.180       -1.034e+00
 4292        24969.585        24964.210        25557.181       -1.009e-02
 4293        24962.944        24957.574        25550.081       -1.989e+00
 4294        24967.413        24962.039        25554.859       -2.140e-01
 4295        24974.262        24968.882        25562.180       -1.034e+00
 4296        24965.396        24960.023        25552.702       -7.895e-01
 4297        24960.623        24955.255        25547.600       -3.631e+00
 4298        24967.534        24962.160        25554.988       -1.914e-01
 4299        24970.094        24964.719        25557.725       -2.465e-02
 4300        24965.396        24960.023        25552.702       -7.895e-01
 4301        24960.246        24954.879        25547.198       -3.944e+00
 4302        24966.785        24961.412        25554.188       -3.532e-01
 4303        24969.050        24963.674        25556.608       -2.034e-02
 4304        24964.817        24959.445        25552.084       -1.023e+00
 4305        24960.246        24954.879        25547.198       -3.944e+00
 4306        24967.320        24961.947        25554.760       -2.323e-01
 4307        24969.284        24963.908        25556.858       -1.263e-02
 4308        24964.817        24959.445        25552.084       -1.023e+00
 4309        24958.376        24953.010        25545.198       -5.689e+00
 4310        24966.711        24961.338        25554.108       -3.721e-01
 4311        24969.334        24963.958        25556.912       -1.164e-02
 4312        24966.443        24961.070        25553.822       -4.443e-01
 4313        24958.376        24953.010        25545.198       -5.689e+00
 4314        24966.822        24961.449        25554.227       -3.440e-01
 4315        24969.334        24963.958        25556.912       -1.164e-02
 4316        24966.745        24961.371        25554.144       -3.634e-01
 4317        24958.376        24953.010        25545.198       -5.689e+00
 4318        24966.822        24961.449        25554.227       -3.440e-01
 4319        24969.334        24963.958        25556.912       -1.164e-02
 4320        24970.421        24965.045        25558.074       -4.643e-02
 4321        24958.376        24953.010        25545.198       -5.689e+00
 4322        24974.512        24969.131        25562.447       -1.145e+00
 4323        24969.707        24964.331        25557.311       -1.141e-02
 4324        24970.945        24965.569        25558.635       -1.018e-01
 4325        24958.376        24953.010        25545.198       -5.689e+00
 4326        24974.512        24969.131        25562.447       -1.145e+00
 4327        24971.137        24965.760        25558.840       -1.283e-01
 4328        24973.853        24968.474        25561.743       -8.647e-01
 4329        24960.515        24955.147        25547.485       -3.719e+00
 4330        24976.540        24971.158        25564.616       -2.256e+00
 4331        24973.463        24968.085        25561.327       -7.177e-01
 4332        24974.213        24968.833        25562.128       -1.013e+00
 4333        24965.869        24960.497        25553.208       -6.211e-01
 4334        24976.540        24971.158        25564.616       -2.256e+00
 4335        24973.463        24968.085        25561.327       -7.177e-01
 4336        24972.822        24967.444        25560.641       -5.059e-01
 4337        24964.185        24958.816        25551.409       -1.313e+00
 4338        24976.286        24970.904        25564.344       -2.096e+00
 4339        24973.463        24968.085        25561.327       -7.177e-01
 4340        24968.643        24963.268        25556.174       -4.560e-02
 4341        24964.260        24958.888        25551.487       -1.277e+00
 4342        24976.286        24970.904        25564.344       -2.096e+00
 4343        24973.359        24967.980        25561.215       -6.807e-01
 4344        24969.023        24963.648        25556.580       -2.151e-02
 4345        24964.024        24958.653        25551.236       -1.393e+00
 4346        24976.302        24970.920        25564.361       -2.106e+00
 4347        24972.746        24967.368        25560.560       -4.832e-01
 4348        24968.797        24963.422        25556.338       -3.428e-02
 4349        24965.589        24960.216        25552.909       -7.182e-01
 4350        24976.302        24970.920        25564.361       -2.106e+00
 4351        24969.791        24964.415        25557.401       -1.311e-02
 4352        24970.657        24965.280        25558.326       -6.821e-02
 4353        24968.919        24963.544        25556.469       -2.678e-02
 4354        24976.302        24970.920        25564.361       -2.106e+00
 4355        24972.334        24966.957        25560.120       -3.700e-01
 4356        24967.614        24962.240        25555.074       -1.771e-01
 4357        24968.464        24963.089        25555.982       -6.157e-02
 4358        24976.302        24970.920        25564.361       -2.106e+00
 4359        24971.109        24965.733        25558.811       -1.244e-01
 4360        24967.614        24962.240        25555.074       -1.771e-01
 4361        24968.840        24963.465        25556.384       -3.149e-02
 4362        24973.677        24968.298        25561.555       -7.966e-01
 4363        24969.942        24964.566        25557.562       -1.781e-02
 4364        24966.942        24961.568        25554.355       -3.153e-01
 4365        24970.565        24965.189        25558.228       -5.911e-02
 4366        24973.677        24968.298        25561.555       -7.966e-01
 4367        24967.618        24962.244        25555.078       -1.764e-01
 4368        24966.942        24961.568        25554.355       -3.153e-01
 4369        24969.441        24964.065        25557.026       -1.027e-02
 4370        24973.596        24968.217        25561.469       -7.662e-01
 4371        24966.385        24961.012        25553.759       -4.610e-01
 4372        24962.768        24957.398        25549.893       -2.097e+00
 4373        24970.189        24964.814        25557.827       -2.998e-02
 4374        24972.170        24966.792        25559.944       -3.291e-01
 4375        24966.615        24961.242        25554.006       -3.972e-01
 4376        24962.768        24957.398        25549.893       -2.097e+00
 4377        24973.290        24967.911        25561.141       -6.567e-01
 4378        24974.588        24969.208        25562.529       -1.180e+00
 4379        24968.405        24963.029        25555.919       -6.746e-02
 4380        24966.538        24961.165        25553.924       -4.179e-01
 4381        24973.290        24967.911        25561.141       -6.567e-01
 4382        24971.714        24966.336        25559.457       -2.284e-01
 4383        24965.902        24960.530        25553.244       -6.099e-01
 4384        24966.968        24961.594        25554.382       -3.092e-01
 4385        24972.400        24967.022        25560.190       -3.870e-01
 4386        24972.374        24966.996        25560.163       -3.803e-01
 4387        24965.276        24959.904        25552.574       -8.354e-01
 4388        24968.871        24963.496        25556.417       -2.958e-02
 4389        24972.400        24967.022        25560.190       -3.870e-01
 4390        24972.380        24967.002        25560.169       -3.818e-01
 4391        24963.131        24957.761        25550.281       -1.878e+00
 4392        24969.571        24964.196        25557.166       -1.002e-02
 4393        24972.245        24966.866        25560.024       -3.472e-01
 4394        24972.586        24967.208        25560.389       -4.374e-01
 4395        24963.131        24957.761        25550.281       -1.878e+00
 4396        24969.571        24964.196        25557.166       -1.002e-02
 4397        24972.245        24966.866        25560.024       -3.472e-01
 4398        24972.886        24967.507        25560.710       -5.253e-01
 4399        24962.890        24957.519        25550.023       -2.022e+00
 4400        24970.994        24965.617        25558.687       -1.082e-01
 4401        24972.245        24966.866        25560.024       -3.472e-01
 4402        24972.886        24967.507        25560.710       -5.253e-01
 4403        24962.704        24957.334        25549.825       -2.136e+00
 4404        24970.914        24965.537        25558.601       -9.778e-02
 4405        24972.248        24966.870        25560.028       -3.482e-01
 4406        24972.886        24967.507        25560.710       -5.253e-01
 4407        24965.287        24959.915        25552.586       -8.310e-01
 4408        24971.640        24966.263        25559.378       -2.139e-01
 4409        24972.248        24966.870        25560.028       -3.482e-01
 4410        24972.886        24967.507        25560.710       -5.253e-01
 4411        24967.345        24961.972        25554.786       -2.274e-01
 4412        24971.570        24966.192        25559.302       -2.004e-01
 4413        24972.009        24966.632        25559.772       -2.913e-01
 4414        24973.310        24967.932        25561.163       -6.637e-01
 4415        24967.773        24962.398        25555.243       -1.506e-01
 4416        24972.327        24966.949        25560.112       -3.680e-01
 4417        24972.009        24966.632        25559.772       -2.913e-01
 4418        24973.170        24967.791        25561.013       -6.160e-01
 4419        24968.686        24963.311        25556.219       -4.225e-02
 4420        24972.308        24966.930        25560.092       -3.632e-01
 4421        24972.089        24966.712        25559.858       -3.098e-01
 4422        24970.159        24964.782        25557.794       -2.817e-02
 4423        24966.800        24961.427        25554.203       -3.497e-01
 4424        24972.101        24966.723        25559.871       -3.126e-01
 4425        24972.405        24967.027        25560.195       -3.882e-01
 4426        24970.255        24964.879        25557.898       -3.419e-02
 4427        24966.527        24961.154        25553.912       -4.209e-01
 4428        24973.979        24968.600        25561.878       -9.153e-01
 4429        24972.263        24966.885        25560.043       -3.518e-01
 4430        24970.255        24964.879        25557.898       -3.419e-02
 4431        24966.527        24961.154        25553.912       -4.209e-01
 4432        24974.102        24968.722        25562.010       -9.660e-01
 4433        24971.657        24966.279        25559.396       -2.172e-01
 4434        24970.017        24964.641        25557.643       -2.091e-02
 4435        24967.376        24962.002        25554.819       -2.212e-01
 4436        24974.376        24968.997        25562.302       -1.084e+00
 4437        24970.895        24965.518        25558.580       -9.534e-02
 4438        24969.593        24964.217        25557.189       -1.013e-02
 4439        24968.979        24963.604        25556.532       -2.367e-02
 4440        24974.376        24968.997        25562.302       -1.084e+00
 4441        24970.333        24964.957        25557.981       -3.963e-02
 4442        24969.416        24964.040        25556.999       -1.050e-02
 4443        24969.065        24963.690        25556.624       -1.969e-02
 4444        24974.376        24968.997        25562.302       -1.084e+00
 4445        24971.567        24966.189        25559.299       -1.999e-01
 4446        24968.688        24963.313        25556.222       -4.209e-02
 4447        24969.935        24964.559        25557.555       -1.753e-02
 4448        24974.376        24968.997        25562.302       -1.084e+00
 4449        24973.483        24968.104        25561.348       -7.248e-01
 4450        24970.216        24964.839        25557.855       -3.160e-02
 4451        24971.884        24966.506        25559.638       -2.637e-01
 4452        24974.070        24968.691        25561.975       -9.526e-01
 4453        24974.112        24968.732        25562.020       -9.701e-01
 4454        24968.107        24962.732        25555.600       -1.020e-01
 4455        24970.829        24965.453        25558.511       -8.740e-02
 4456        24972.643        24967.265        25560.450       -4.534e-01
 4457        24974.106        24968.727        25562.014       -9.676e-01
 4458        24968.107        24962.732        25555.600       -1.020e-01
 4459        24970.022        24964.646        25557.648       -2.112e-02
 4460        24972.643        24967.265        25560.450       -4.534e-01
 4461        24974.106        24968.727        25562.014       -9.676e-01
 4462        24970.540        24965.164        25558.201       -5.679e-02
 4463        24969.284        24963.908        25556.859       -1.263e-02
 4464        24972.022        24966.644        25559.785       -2.942e-01
 4465        24972.218        24966.840        25559.995       -3.407e-01
 4466        24969.590        24964.214        25557.186       -1.011e-02
 4467        24967.781        24962.406        25555.251       -1.493e-01
 4468        24972.010        24966.632        25559.773       -2.916e-01
 4469        24972.182        24966.804        25559.957       -3.319e-01
 4470        24969.964        24964.588        25557.585       -1.865e-02
 4471        24967.748        24962.374        25555.217       -1.544e-01
 4472        24972.038        24966.660        25559.803       -2.979e-01
 4473        24971.995        24966.617        25559.757       -2.881e-01
 4474        24969.830        24964.455        25557.443       -1.414e-02
 4475        24969.874        24964.498        25557.489       -1.543e-02
 4476        24971.403        24966.026        25559.124       -1.707e-01
 4477        24971.878        24966.500        25559.632       -2.623e-01
 4478        24969.036        24963.659        25556.593       -2.096e-02
 4479        24970.170        24964.794        25557.806       -2.881e-02
 4480        24971.136        24965.758        25558.838       -1.280e-01
 4481        24971.850        24966.472        25559.602       -2.564e-01
 4482        24969.348        24963.973        25556.928       -1.139e-02
 4483        24970.673        24965.297        25558.344       -6.998e-02
 4484        24970.679        24965.303        25558.351       -7.060e-02
 4485        24971.763        24966.386        25559.509       -2.383e-01
 4486        24970.154        24964.778        25557.789       -2.789e-02
 4487        24969.733        24964.358        25557.339       -1.188e-02
 4488        24970.101        24964.725        25557.732       -2.500e-02
 4489        24971.108        24965.731        25558.808       -1.240e-01
 4490        24970.450        24965.073        25558.105       -4.881e-02
 4491        24970.028        24964.652        25557.654       -2.141e-02
 4492        24969.864        24964.488        25557.478       -1.510e-02
 4493        24971.419        24966.042        25559.142       -1.735e-01
 4494        24970.580        24965.204        25558.245       -6.063e-02
 4495        24969.792        24964.417        25557.402       -1.314e-02
 4496        24970.346        24964.970        25557.994       -4.056e-02
 4497        24971.364        24965.986        25559.082       -1.641e-01
