polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation 2.
the polar and equatorial radii in this file come from random draws in j2 and j4 from the French et al. (2024, Icarus 411) error ellipsoid,
followed by direct integration of Equation (3) from one of the Voyager 2 radio points reported in Lindal et al. 1987 to either the equator or the pole.
index         r_pol_km          r_eq_km               j2               j4               j6
   69      24968.95052      25556.61922   3.50944650e-03  -3.54461153e-05  -1.62251862e-06
   70      24968.90363      25556.62045   3.50870932e-03  -3.61786367e-05   9.66563415e-07
   71      24968.88885      25556.62050   3.50873794e-03  -3.59357072e-05   1.21825740e-06
   72      24968.86212      25556.62064   3.50910317e-03  -3.58253128e-05   1.52097812e-06
   73      24968.90151      25556.61975   3.50949784e-03  -3.53024377e-05  -3.36903949e-07
   74      24968.85100      25556.62032   3.50953189e-03  -3.52450739e-05   1.00622461e-06
   75      24968.88002      25556.62048   3.50892410e-03  -3.58151235e-05   1.20023194e-06
   76      24968.82897      25556.62073   3.50939370e-03  -3.53876257e-05   1.90973885e-06
   77      24968.87233      25556.62054   3.50897990e-03  -3.57867267e-05   1.34142108e-06
   78      24968.89013      25556.62042   3.50888758e-03  -3.59228900e-05   1.00971896e-06
   79      24968.83999      25556.61991   3.51006589e-03  -3.45074181e-05   3.56867999e-07
   80      24968.87403      25556.62063   3.50887267e-03  -3.59227565e-05   1.48613617e-06
   81      24968.86588      25556.62018   3.50948808e-03  -3.52810014e-05   6.82104086e-07
   82      24968.99497      25556.61883   3.50915147e-03  -3.55930912e-05  -2.54813386e-06
   83      24968.89686      25556.61973   3.50960491e-03  -3.52333851e-05  -3.60287555e-07
   84      24968.87942      25556.61980   3.50975081e-03  -3.50413086e-05  -1.26703259e-07
   85      24968.80854      25556.62102   3.50934713e-03  -3.54260591e-05   2.56847015e-06
   86      24968.87105      25556.62084   3.50877525e-03  -3.61973992e-05   1.83500838e-06
   87      24968.89392      25556.61989   3.50945706e-03  -3.53779818e-05  -3.15298635e-08
   88      24968.86650      25556.62038   3.50926745e-03  -3.55836195e-05   1.01259805e-06
   89      24968.87056      25556.62029   3.50931523e-03  -3.55182480e-05   8.28524550e-07
   90      24968.90909      25556.62040   3.50866118e-03  -3.61784375e-05   8.57254245e-07
   91      24968.84275      25556.62037   3.50955312e-03  -3.51511391e-05   1.16516579e-06
   92      24968.86779      25556.61954   3.51015268e-03  -3.45384349e-05  -5.24763494e-07
   93      24968.88348      25556.62084   3.50855182e-03  -3.63462200e-05   1.80761645e-06
   94      24968.90612      25556.62012   3.50907775e-03  -3.59007688e-05   2.85888818e-07
   95      24968.88382      25556.62043   3.50901827e-03  -3.58673699e-05   1.01484026e-06
   96      24968.82717      25556.62104   3.50914686e-03  -3.57727390e-05   2.44956125e-06
   97      24968.87368      25556.62033   3.50920246e-03  -3.55974827e-05   9.05013677e-07
   98      24968.88814      25556.62012   3.50927585e-03  -3.55509926e-05   4.30032755e-07
   99      24968.95116      25556.61957   3.50903522e-03  -3.58520822e-05  -9.47224750e-07
  100      24968.94270      25556.62013   3.50850738e-03  -3.64140359e-05   1.34384349e-07
  101      24968.91047      25556.62069   3.50839564e-03  -3.65906586e-05   1.34874415e-06
  102      24968.85536      25556.62054   3.50932971e-03  -3.56193169e-05   1.35099120e-06
  103      24968.87252      25556.62070   3.50889019e-03  -3.60497110e-05   1.58272425e-06
  104      24968.82969      25556.62042   3.50973993e-03  -3.50846881e-05   1.29064543e-06
  105      24968.87480      25556.62044   3.50903019e-03  -3.56696807e-05   1.15225070e-06
  106      24968.96372      25556.61974   3.50864262e-03  -3.61955837e-05  -6.79193219e-07
  107      24968.87349      25556.62015   3.50942377e-03  -3.53636655e-05   5.83276672e-07
  108      24968.88021      25556.62062   3.50894798e-03  -3.61263570e-05   1.34250763e-06
  109      24968.87885      25556.62057   3.50893119e-03  -3.59607032e-05   1.31073490e-06
  110      24968.81044      25556.62099   3.50935924e-03  -3.54156247e-05   2.49452976e-06
  111      24968.87703      25556.62044   3.50905257e-03  -3.57580412e-05   1.10972433e-06
  112      24968.84274      25556.62076   3.50914614e-03  -3.56081086e-05   1.90969364e-06
  113      24968.86773      25556.62022   3.50938971e-03  -3.53215878e-05   7.61476898e-07
  114      24968.81617      25556.62057   3.50976995e-03  -3.50184640e-05   1.65380332e-06
  115      24968.87867      25556.62025   3.50925654e-03  -3.55949561e-05   7.06223049e-07
  116      24968.77233      25556.62105   3.50980754e-03  -3.49265456e-05   2.82415530e-06
  117      24968.83062      25556.62059   3.50950088e-03  -3.52169402e-05   1.64573553e-06
  118      24968.84628      25556.61995   3.50996711e-03  -3.46865141e-05   3.86404635e-07
  119      24968.84481      25556.62064   3.50931765e-03  -3.55434628e-05   1.63017551e-06
  120      24968.91337      25556.62044   3.50867872e-03  -3.63722346e-05   8.27275410e-07
  121      24968.88345      25556.62062   3.50875775e-03  -3.60427220e-05   1.41182892e-06
  122      24968.88420      25556.62030   3.50912484e-03  -3.57604366e-05   7.68800335e-07
  123      24968.89559      25556.62039   3.50894878e-03  -3.60460936e-05   8.55735649e-07
  124      24968.88670      25556.62010   3.50930486e-03  -3.55038806e-05   4.12201262e-07
  125      24968.89739      25556.62024   3.50901430e-03  -3.58792512e-05   5.88720266e-07
  126      24968.83221      25556.62045   3.50959003e-03  -3.51008540e-05   1.39156374e-06
  127      24968.89688      25556.61965   3.50966600e-03  -3.51235875e-05  -4.92156899e-07
  128      24968.84418      25556.62026   3.50967327e-03  -3.50229369e-05   9.59360335e-07
  129      24968.87132      25556.61999   3.50962686e-03  -3.51336300e-05   2.91454250e-07
  130      24968.85265      25556.62026   3.50962149e-03  -3.52422438e-05   8.63437747e-07
  131      24968.87112      25556.62045   3.50914745e-03  -3.56867489e-05   1.13637941e-06
  132      24968.84535      25556.62023   3.50974205e-03  -3.50627820e-05   8.69863053e-07
  133      24968.91060      25556.61998   3.50910845e-03  -3.56982811e-05   5.60411461e-08
  134      24968.96436      25556.62032   3.50805827e-03  -3.69417845e-05   3.65936937e-07
  135      24968.85892      25556.61993   3.50981768e-03  -3.48366761e-05   2.71800049e-07
  136      24968.93996      25556.62020   3.50843859e-03  -3.64558908e-05   2.94282479e-07
  137      24968.86920      25556.62033   3.50925803e-03  -3.55220341e-05   9.28314944e-07
  138      24968.83598      25556.62052   3.50953494e-03  -3.52410402e-05   1.47178754e-06
  139      24968.93365      25556.61920   3.50967374e-03  -3.51556923e-05  -1.55368557e-06
  140      24968.87342      25556.62061   3.50894089e-03  -3.59276089e-05   1.43227732e-06
  141      24968.77936      25556.62095   3.50981024e-03  -3.49004097e-05   2.59975435e-06
  142      24968.85479      25556.62091   3.50882959e-03  -3.59742609e-05   2.11705132e-06
  143      24968.83862      25556.62060   3.50938441e-03  -3.53602342e-05   1.62650494e-06
