polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation 2.
the distribution of models in this file comes from Markov chain Monte Carlo fits to the pair of Voyager 2 radio occultations reported in Lindal et al. 1987.
index         r_pol_km          r_eq_km              lnp 
 5504        24968.366        25557.042       -1.015e-02
 5505        24961.803        25550.025       -2.021e+00
 5506        24973.848        25562.903       -1.347e+00
 5507        24970.164        25558.964       -1.462e-01
 5508        24968.366        25557.042       -1.015e-02
 5509        24961.803        25550.025       -2.021e+00
 5510        24972.239        25561.184       -6.705e-01
 5511        24970.443        25559.263       -1.938e-01
 5512        24968.366        25557.042       -1.015e-02
 5513        24966.437        25554.979       -1.927e-01
 5514        24972.239        25561.184       -6.705e-01
 5515        24969.912        25558.695       -1.093e-01
 5516        24968.691        25557.389       -1.285e-02
 5517        24967.217        25555.813       -7.793e-02
 5518        24972.271        25561.218       -6.816e-01
 5519        24967.888        25556.531       -2.371e-02
 5520        24969.176        25557.908       -3.489e-02
 5521        24967.217        25555.813       -7.793e-02
 5522        24972.271        25561.218       -6.816e-01
 5523        24967.547        25556.166       -4.610e-02
 5524        24968.255        25556.923       -1.143e-02
 5525        24967.215        25555.811       -7.821e-02
 5526        24971.365        25560.249       -4.016e-01
 5527        24967.857        25556.497       -2.531e-02
 5528        24968.063        25556.718       -1.631e-02
 5529        24968.044        25556.697       -1.699e-02
 5530        24970.084        25558.879       -1.339e-01
 5531        24967.857        25556.497       -2.531e-02
 5532        24968.361        25557.037       -1.018e-02
 5533        24968.554        25557.243       -1.054e-02
 5534        24969.107        25557.835       -3.044e-02
 5535        24967.945        25556.592       -2.098e-02
 5536        24968.209        25556.875       -1.228e-02
 5537        24968.580        25557.271       -1.085e-02
 5538        24969.429        25558.179       -5.490e-02
 5539        24967.940        25556.587       -2.118e-02
 5540        24968.176        25556.839       -1.303e-02
 5541        24968.756        25557.459       -1.457e-02
 5542        24968.990        25557.709       -2.389e-02
 5543        24968.029        25556.682       -1.752e-02
 5544        24968.171        25556.834       -1.314e-02
 5545        24968.793        25557.499       -1.570e-02
 5546        24968.683        25557.381       -1.268e-02
 5547        24967.633        25556.259       -3.944e-02
 5548        24967.855        25556.496       -2.538e-02
 5549        24968.829        25557.538       -1.695e-02
 5550        24968.673        25557.370       -1.245e-02
 5551        24968.132        25556.791       -1.419e-02
 5552        24967.717        25556.348       -3.362e-02
 5553        24969.183        25557.916       -3.536e-02
 5554        24969.402        25558.150       -5.247e-02
 5555        24967.198        25555.793       -8.006e-02
 5556        24968.138        25556.798       -1.401e-02
 5557        24969.025        25557.747       -2.572e-02
 5558        24969.408        25558.157       -5.301e-02
 5559        24967.204        25555.800       -7.935e-02
 5560        24966.865        25555.437       -1.228e-01
 5561        24969.734        25558.505       -8.676e-02
 5562        24969.427        25558.176       -5.466e-02
 5563        24965.236        25553.695       -4.782e-01
 5564        24966.810        25555.378       -1.309e-01
 5565        24969.610        25558.372       -7.272e-02
 5566        24969.289        25558.029       -4.305e-02
 5567        24962.791        25551.081       -1.467e+00
 5568        24966.946        25555.524       -1.115e-01
 5569        24969.528        25558.284       -6.425e-02
 5570        24970.527        25559.353       -2.095e-01
 5571        24962.791        25551.081       -1.467e+00
 5572        24968.977        25557.695       -2.323e-02
 5573        24971.693        25560.600       -4.944e-01
 5574        24969.633        25558.397       -7.530e-02
 5575        24962.108        25550.352       -1.840e+00
 5576        24970.584        25559.414       -2.206e-01
 5577        24971.693        25560.600       -4.944e-01
 5578        24967.058        25555.644       -9.681e-02
 5579        24962.108        25550.352       -1.840e+00
 5580        24969.193        25557.926       -3.602e-02
 5581        24972.973        25561.968       -9.499e-01
 5582        24965.829        25554.329       -3.207e-01
 5583        24965.980        25554.491       -2.856e-01
 5584        24970.914        25559.767       -2.903e-01
 5585        24972.973        25561.968       -9.499e-01
 5586        24965.380        25553.849       -4.370e-01
 5587        24966.399        25554.939       -1.997e-01
 5588        24969.333        25558.076       -4.657e-02
 5589        24971.909        25560.830       -5.606e-01
 5590        24965.380        25553.849       -4.370e-01
 5591        24966.595        25555.149       -1.649e-01
 5592        24969.736        25558.506       -8.694e-02
 5593        24971.909        25560.830       -5.606e-01
 5594        24963.273        25551.596       -1.228e+00
 5595        24964.275        25552.668       -8.014e-01
 5596        24972.939        25561.932       -9.361e-01
 5597        24968.275        25556.944       -1.112e-02
 5598        24961.451        25549.649       -2.239e+00
 5599        24963.218        25551.537       -1.255e+00
 5600        24974.663        25563.775       -1.781e+00
 5601        24963.817        25552.178       -9.852e-01
 5602        24963.014        25551.320       -1.354e+00
 5603        24965.609        25554.094       -3.755e-01
 5604        24974.663        25563.775       -1.781e+00
 5605        24964.269        25552.662       -8.036e-01
 5606        24963.014        25551.320       -1.354e+00
 5607        24959.714        25547.791       -3.486e+00
 5608        24975.023        25564.160       -1.992e+00
 5609        24963.643        25551.993       -1.060e+00
 5610        24963.291        25551.616       -1.220e+00
 5611        24961.256        25549.440       -2.366e+00
 5612        24975.023        25564.160       -1.992e+00
 5613        24963.643        25551.993       -1.060e+00
 5614        24963.291        25551.616       -1.220e+00
 5615        24962.330        25550.589       -1.714e+00
 5616        24974.903        25564.032       -1.920e+00
 5617        24963.307        25551.633       -1.212e+00
 5618        24963.291        25551.616       -1.220e+00
 5619        24962.124        25550.369       -1.831e+00
 5620        24974.903        25564.032       -1.920e+00
 5621        24962.738        25551.025       -1.494e+00
 5622        24963.518        25551.859       -1.115e+00
 5623        24962.124        25550.369       -1.831e+00
 5624        24974.903        25564.032       -1.920e+00
 5625        24962.738        25551.025       -1.494e+00
 5626        24964.191        25552.578       -8.337e-01
 5627        24962.124        25550.369       -1.831e+00
 5628        24970.122        25558.920       -1.396e-01
 5629        24962.738        25551.025       -1.494e+00
 5630        24965.554        25554.035       -3.897e-01
 5631        24963.452        25551.788       -1.145e+00
 5632        24971.584        25560.482       -4.623e-01
 5633        24962.738        25551.025       -1.494e+00
 5634        24965.866        25554.369       -3.120e-01
 5635        24963.910        25552.278       -9.461e-01
 5636        24971.584        25560.482       -4.623e-01
 5637        24962.738        25551.025       -1.494e+00
 5638        24965.236        25553.695       -4.781e-01
 5639        24963.465        25551.801       -1.140e+00
 5640        24971.584        25560.482       -4.623e-01
 5641        24962.262        25550.516       -1.752e+00
 5642        24959.291        25547.340       -3.831e+00
 5643        24963.465        25551.801       -1.140e+00
 5644        24967.570        25556.191       -4.423e-02
 5645        24962.712        25550.997       -1.507e+00
 5646        24959.291        25547.340       -3.831e+00
 5647        24964.291        25552.685       -7.954e-01
 5648        24968.217        25556.883       -1.212e-02
 5649        24962.929        25551.229       -1.396e+00
 5650        24960.620        25548.760       -2.802e+00
 5651        24967.672        25556.300       -3.663e-02
 5652        24970.236        25559.041       -1.577e-01
 5653        24962.929        25551.229       -1.396e+00
 5654        24964.361        25552.759       -7.692e-01
 5655        24969.906        25558.688       -1.084e-01
 5656        24971.132        25560.000       -3.418e-01
 5657        24962.239        25550.491       -1.765e+00
 5658        24964.361        25552.759       -7.692e-01
 5659        24967.392        25556.000       -5.984e-02
 5660        24970.950        25559.805       -2.984e-01
 5661        24962.303        25550.559       -1.729e+00
 5662        24964.585        25553.000       -6.878e-01
 5663        24966.649        25555.207       -1.559e-01
 5664        24970.950        25559.805       -2.984e-01
 5665        24962.303        25550.559       -1.729e+00
 5666        24964.585        25553.000       -6.878e-01
 5667        24966.340        25554.876       -2.108e-01
 5668        24970.525        25559.350       -2.090e-01
 5669        24963.874        25552.240       -9.611e-01
 5670        24964.585        25553.000       -6.878e-01
 5671        24965.995        25554.507       -2.824e-01
 5672        24970.251        25559.058       -1.603e-01
 5673        24963.874        25552.240       -9.611e-01
 5674        24964.232        25552.622       -8.179e-01
 5675        24966.081        25554.599       -2.635e-01
 5676        24968.443        25557.124       -9.915e-03
 5677        24961.787        25550.008       -2.030e+00
 5678        24964.118        25552.500       -8.622e-01
 5679        24965.155        25553.608       -5.022e-01
 5680        24970.168        25558.968       -1.467e-01
 5681        24961.524        25549.726       -2.194e+00
 5682        24963.193        25551.512       -1.266e+00
 5683        24964.869        25553.303       -5.915e-01
 5684        24970.168        25558.968       -1.467e-01
 5685        24961.537        25549.741       -2.185e+00
 5686        24963.314        25551.641       -1.209e+00
 5687        24962.121        25550.365       -1.833e+00
 5688        24968.724        25557.424       -1.366e-02
 5689        24960.790        25548.941       -2.682e+00
 5690        24962.571        25550.846       -1.582e+00
 5691        24962.121        25550.365       -1.833e+00
 5692        24968.724        25557.424       -1.366e-02
 5693        24963.431        25551.766       -1.155e+00
 5694        24962.645        25550.925       -1.543e+00
 5695        24962.379        25550.641       -1.687e+00
 5696        24968.724        25557.424       -1.366e-02
 5697        24963.521        25551.861       -1.114e+00
 5698        24962.645        25550.925       -1.543e+00
 5699        24962.398        25550.661       -1.676e+00
 5700        24970.258        25559.065       -1.615e-01
 5701        24963.628        25551.977       -1.066e+00
 5702        24962.872        25551.168       -1.425e+00
 5703        24962.485        25550.754       -1.628e+00
 5704        24970.258        25559.065       -1.615e-01
 5705        24963.628        25551.977       -1.066e+00
 5706        24963.254        25551.576       -1.237e+00
 5707        24962.385        25550.647       -1.684e+00
 5708        24972.652        25561.625       -8.217e-01
 5709        24964.199        25552.587       -8.305e-01
 5710        24963.254        25551.576       -1.237e+00
 5711        24961.721        25549.937       -2.071e+00
 5712        24972.652        25561.625       -8.217e-01
 5713        24966.494        25555.040       -1.825e-01
 5714        24964.627        25553.044       -6.732e-01
 5715        24962.979        25551.282       -1.371e+00
 5716        24972.652        25561.625       -8.217e-01
 5717        24965.843        25554.344       -3.174e-01
 5718        24964.325        25552.721       -7.827e-01
 5719        24962.979        25551.282       -1.371e+00
 5720        24972.652        25561.625       -8.217e-01
 5721        24965.970        25554.480       -2.881e-01
 5722        24964.325        25552.721       -7.827e-01
 5723        24963.637        25551.986       -1.062e+00
 5724        24969.709        25558.478       -8.381e-02
 5725        24962.417        25550.682       -1.665e+00
 5726        24964.407        25552.809       -7.519e-01
 5727        24963.700        25552.054       -1.035e+00
 5728        24966.969        25555.549       -1.084e-01
 5729        24961.707        25549.922       -2.079e+00
 5730        24964.097        25552.478       -8.705e-01
 5731        24963.409        25551.742       -1.165e+00
 5732        24967.354        25555.960       -6.352e-02
 5733        24960.320        25548.439       -3.020e+00
 5734        24964.125        25552.508       -8.595e-01
 5735        24963.508        25551.848       -1.120e+00
 5736        24968.870        25557.581       -1.849e-02
 5737        24960.320        25548.439       -3.020e+00
 5738        24964.491        25552.898       -7.215e-01
 5739        24966.653        25555.210       -1.554e-01
 5740        24967.332        25555.936       -6.575e-02
 5741        24960.320        25548.439       -3.020e+00
 5742        24967.402        25556.011       -5.886e-02
 5743        24965.974        25554.484       -2.872e-01
 5744        24966.740        25555.303       -1.415e-01
 5745        24960.320        25548.439       -3.020e+00
 5746        24968.333        25557.007       -1.040e-02
 5747        24965.757        25554.252       -3.382e-01
 5748        24967.407        25556.016       -5.842e-02
 5749        24960.320        25548.439       -3.020e+00
 5750        24969.308        25558.049       -4.456e-02
 5751        24968.520        25557.206       -1.022e-02
 5752        24968.325        25556.998       -1.049e-02
 5753        24960.320        25548.439       -3.020e+00
 5754        24970.068        25558.862       -1.315e-01
 5755        24968.520        25557.206       -1.022e-02
 5756        24968.325        25556.998       -1.049e-02
 5757        24960.320        25548.439       -3.020e+00
 5758        24969.700        25558.468       -8.275e-02
 5759        24968.757        25557.460       -1.458e-02
 5760        24968.482        25557.166       -1.001e-02
 5761        24960.320        25548.439       -3.020e+00
 5762        24969.227        25557.962       -3.840e-02
 5763        24968.717        25557.417       -1.349e-02
 5764        24968.482        25557.166       -1.001e-02
 5765        24964.081        25552.461       -8.769e-01
 5766        24968.983        25557.701       -2.351e-02
 5767        24968.717        25557.417       -1.349e-02
 5768        24967.855        25556.495       -2.541e-02
 5769        24964.081        25552.461       -8.769e-01
 5770        24968.817        25557.524       -1.651e-02
 5771        24969.768        25558.541       -9.079e-02
 5772        24968.888        25557.600       -1.920e-02
 5773        24964.081        25552.461       -8.769e-01
 5774        24969.295        25558.035       -4.352e-02
 5775        24967.440        25556.052       -5.531e-02
 5776        24969.579        25558.339       -6.947e-02
 5777        24964.502        25552.910       -7.176e-01
 5778        24968.529        25557.216       -1.030e-02
 5779        24967.023        25555.606       -1.013e-01
 5780        24971.463        25560.353       -4.282e-01
 5781        24963.777        25552.135       -1.002e+00
 5782        24967.013        25555.595       -1.026e-01
 5783        24967.140        25555.731       -8.683e-02
 5784        24969.907        25558.689       -1.086e-01
 5785        24966.472        25555.017       -1.864e-01
 5786        24967.028        25555.611       -1.007e-01
 5787        24967.136        25555.727       -8.723e-02
 5788        24970.302        25559.112       -1.688e-01
 5789        24966.451        25554.994       -1.902e-01
 5790        24967.658        25556.285       -3.767e-02
 5791        24967.176        25555.770       -8.259e-02
 5792        24970.715        25559.553       -2.469e-01
 5793        24966.558        25555.109       -1.712e-01
 5794        24967.210        25555.806       -7.876e-02
 5795        24965.167        25553.621       -4.986e-01
 5796        24969.517        25558.273       -6.323e-02
 5797        24966.593        25555.146       -1.654e-01
 5798        24967.409        25556.019       -5.818e-02
 5799        24966.035        25554.550       -2.735e-01
 5800        24970.091        25558.886       -1.349e-01
 5801        24966.933        25555.510       -1.133e-01
 5802        24967.384        25555.992       -6.061e-02
 5803        24965.953        25554.462       -2.918e-01
 5804        24970.138        25558.936       -1.420e-01
 5805        24967.048        25555.632       -9.813e-02
 5806        24967.996        25556.646       -1.881e-02
 5807        24966.576        25555.128       -1.681e-01
 5808        24970.138        25558.936       -1.420e-01
 5809        24967.249        25555.848       -7.442e-02
 5810        24967.674        25556.302       -3.654e-02
 5811        24966.805        25555.373       -1.317e-01
 5812        24970.138        25558.936       -1.420e-01
 5813        24967.749        25556.382       -3.157e-02
 5814        24968.243        25556.911       -1.163e-02
 5815        24966.149        25554.672       -2.491e-01
 5816        24970.136        25558.934       -1.417e-01
 5817        24967.484        25556.099       -5.142e-02
 5818        24968.500        25557.185       -1.009e-02
 5819        24965.907        25554.413       -3.023e-01
 5820        24969.566        25558.325       -6.810e-02
 5821        24967.484        25556.099       -5.142e-02
 5822        24967.539        25556.158       -4.674e-02
 5823        24966.330        25554.865       -2.128e-01
 5824        24969.577        25558.337       -6.929e-02
 5825        24968.240        25556.908       -1.168e-02
 5826        24968.387        25557.065       -1.003e-02
 5827        24965.834        25554.335       -3.195e-01
 5828        24968.393        25557.070       -1.001e-02
 5829        24968.102        25556.760       -1.504e-02
 5830        24968.485        25557.169       -1.002e-02
 5831        24966.760        25555.325       -1.384e-01
 5832        24968.336        25557.010       -1.038e-02
 5833        24968.008        25556.659       -1.833e-02
 5834        24968.459        25557.141       -9.935e-03
 5835        24965.667        25554.157       -3.604e-01
 5836        24967.482        25556.097       -5.156e-02
 5837        24967.615        25556.239       -4.082e-02
 5838        24967.973        25556.622       -1.975e-02
 5839        24966.574        25555.126       -1.685e-01
 5840        24967.457        25556.070       -5.384e-02
 5841        24967.407        25556.016       -5.843e-02
 5842        24968.135        25556.795       -1.408e-02
 5843        24965.905        25554.411       -3.028e-01
 5844        24967.481        25556.095       -5.172e-02
 5845        24968.449        25557.131       -9.921e-03
 5846        24968.285        25556.956       -1.097e-02
 5847        24963.790        25552.150       -9.965e-01
 5848        24966.873        25555.446       -1.217e-01
 5849        24968.449        25557.131       -9.921e-03
 5850        24969.842        25558.620       -1.001e-01
 5851        24965.120        25553.571       -5.128e-01
 5852        24966.579        25555.131       -1.677e-01
 5853        24969.683        25558.450       -8.082e-02
 5854        24969.821        25558.598       -9.747e-02
 5855        24965.120        25553.571       -5.128e-01
 5856        24968.032        25556.685       -1.741e-02
 5857        24970.339        25559.152       -1.752e-01
 5858        24971.637        25560.540       -4.778e-01
 5859        24968.344        25557.019       -1.031e-02
 5860        24966.493        25555.039       -1.826e-01
 5861        24970.339        25559.152       -1.752e-01
 5862        24971.083        25559.948       -3.299e-01
 5863        24968.485        25557.169       -1.002e-02
 5864        24966.205        25554.732       -2.375e-01
 5865        24969.389        25558.136       -5.133e-02
 5866        24969.660        25558.426       -7.824e-02
 5867        24968.014        25556.666       -1.809e-02
 5868        24965.063        25553.510       -5.301e-01
 5869        24971.671        25560.576       -4.877e-01
 5870        24969.660        25558.426       -7.824e-02
 5871        24967.369        25555.976       -6.200e-02
 5872        24963.513        25551.853       -1.118e+00
 5873        24971.671        25560.576       -4.877e-01
 5874        24970.565        25559.393       -2.168e-01
 5875        24968.444        25557.125       -9.916e-03
 5876        24963.459        25551.795       -1.142e+00
 5877        24971.671        25560.576       -4.877e-01
 5878        24970.955        25559.810       -2.996e-01
 5879        24968.786        25557.492       -1.549e-02
 5880        24965.124        25553.576       -5.114e-01
 5881        24969.965        25558.752       -1.166e-01
 5882        24968.387        25557.065       -1.003e-02
 5883        24967.962        25556.610       -2.023e-02
 5884        24965.124        25553.576       -5.114e-01
 5885        24970.033        25558.824       -1.262e-01
 5886        24968.368        25557.045       -1.013e-02
 5887        24968.069        25556.724       -1.611e-02
 5888        24965.124        25553.576       -5.114e-01
 5889        24971.730        25560.639       -5.054e-01
 5890        24969.812        25558.588       -9.628e-02
 5891        24968.046        25556.700       -1.691e-02
 5892        24965.165        25553.619       -4.991e-01
 5893        24971.730        25560.639       -5.054e-01
 5894        24969.392        25558.139       -5.159e-02
 5895        24967.935        25556.581       -2.143e-02
 5896        24963.923        25552.291       -9.410e-01
 5897        24971.730        25560.639       -5.054e-01
 5898        24968.138        25556.798       -1.401e-02
 5899        24969.056        25557.780       -2.740e-02
 5900        24963.153        25551.468       -1.286e+00
 5901        24971.730        25560.639       -5.054e-01
 5902        24968.067        25556.723       -1.616e-02
 5903        24968.628        25557.322       -1.157e-02
 5904        24966.356        25554.893       -2.078e-01
 5905        24973.087        25562.090       -9.977e-01
 5906        24967.625        25556.250       -4.005e-02
 5907        24969.383        25558.129       -5.077e-02
 5908        24967.193        25555.788       -8.061e-02
 5909        24974.214        25563.295       -1.535e+00
 5910        24968.660        25557.357       -1.219e-02
 5911        24971.776        25560.688       -5.192e-01
 5912        24967.861        25556.502       -2.508e-02
 5913        24973.272        25562.287       -1.078e+00
 5914        24968.838        25557.547       -1.727e-02
 5915        24972.198        25561.139       -6.560e-01
 5916        24968.845        25557.554       -1.750e-02
 5917        24977.863        25567.196       -4.069e+00
 5918        24968.245        25556.912       -1.160e-02
 5919        24970.520        25559.345       -2.082e-01
 5920        24968.845        25557.554       -1.750e-02
 5921        24977.863        25567.196       -4.069e+00
 5922        24968.245        25556.912       -1.160e-02
 5923        24971.014        25559.874       -3.134e-01
 5924        24968.936        25557.652       -2.131e-02
 5925        24977.863        25567.196       -4.069e+00
 5926        24968.741        25557.443       -1.414e-02
 5927        24971.014        25559.874       -3.134e-01
 5928        24968.480        25557.164       -9.998e-03
 5929        24977.582        25566.896       -3.831e+00
 5930        24968.716        25557.416       -1.346e-02
 5931        24965.811        25554.310       -3.250e-01
 5932        24968.480        25557.164       -9.998e-03
 5933        24977.754        25567.080       -3.976e+00
 5934        24970.971        25559.827       -3.032e-01
 5935        24965.811        25554.310       -3.250e-01
 5936        24968.480        25557.164       -9.998e-03
 5937        24975.756        25564.944       -2.458e+00
 5938        24971.475        25560.366       -4.316e-01
 5939        24968.232        25556.899       -1.184e-02
 5940        24968.831        25557.540       -1.702e-02
 5941        24975.955        25565.156       -2.592e+00
 5942        24971.704        25560.611       -4.974e-01
 5943        24968.312        25556.984       -1.063e-02
 5944        24971.394        25560.280       -4.094e-01
 5945        24974.951        25564.083       -1.949e+00
 5946        24971.196        25560.067       -3.576e-01
 5947        24969.179        25557.911       -3.507e-02
 5948        24971.403        25560.289       -4.118e-01
 5949        24978.001        25567.344       -4.189e+00
 5950        24970.648        25559.482       -2.333e-01
 5951        24970.057        25558.850       -1.298e-01
 5952        24971.562        25560.459       -4.560e-01
 5953        24976.110        25565.322       -2.700e+00
 5954        24971.094        25559.959       -3.325e-01
 5955        24970.248        25559.054       -1.597e-01
 5956        24970.337        25559.149       -1.748e-01
 5957        24975.416        25564.580       -2.235e+00
 5958        24971.019        25559.878       -3.144e-01
 5959        24970.331        25559.143       -1.738e-01
 5960        24971.393        25560.278       -4.091e-01
 5961        24974.433        25563.529       -1.653e+00
 5962        24970.848        25559.696       -2.755e-01
 5963        24970.611        25559.443       -2.259e-01
 5964        24971.834        25560.750       -5.372e-01
 5965        24974.433        25563.529       -1.653e+00
 5966        24970.999        25559.857       -3.097e-01
 5967        24971.179        25560.049       -3.533e-01
 5968        24971.611        25560.512       -4.702e-01
 5969        24974.433        25563.529       -1.653e+00
 5970        24970.658        25559.492       -2.352e-01
 5971        24970.855        25559.703       -2.771e-01
 5972        24971.823        25560.739       -5.338e-01
 5973        24974.433        25563.529       -1.653e+00
 5974        24970.658        25559.492       -2.352e-01
 5975        24971.167        25560.037       -3.505e-01
 5976        24972.194        25561.135       -6.549e-01
 5977        24974.433        25563.529       -1.653e+00
 5978        24970.517        25559.342       -2.076e-01
 5979        24971.716        25560.624       -5.012e-01
 5980        24971.683        25560.588       -4.912e-01
 5981        24975.423        25564.588       -2.240e+00
 5982        24969.841        25558.619       -9.997e-02
 5983        24971.716        25560.624       -5.012e-01
 5984        24970.244        25559.050       -1.591e-01
 5985        24975.423        25564.588       -2.240e+00
 5986        24964.966        25553.407       -5.603e-01
 5987        24971.746        25560.656       -5.103e-01
 5988        24969.246        25557.983       -3.983e-02
 5989        24975.423        25564.588       -2.240e+00
 5990        24968.027        25556.679       -1.761e-02
 5991        24970.621        25559.453       -2.278e-01
 5992        24969.602        25558.364       -7.191e-02
 5993        24975.823        25565.016       -2.503e+00
 5994        24968.515        25557.201       -1.019e-02
 5995        24970.147        25558.946       -1.434e-01
 5996        24969.573        25558.333       -6.888e-02
 5997        24975.823        25565.016       -2.503e+00
 5998        24969.072        25557.797       -2.831e-02
 5999        24969.807        25558.582       -9.562e-02
 6000        24969.398        25558.145       -5.209e-02
 6001        24975.823        25565.016       -2.503e+00
 6002        24967.113        25555.703       -8.999e-02
 6003        24967.708        25556.339       -3.417e-02
 6004        24968.274        25556.943       -1.114e-02
 6005        24975.575        25564.750       -2.338e+00
 6006        24965.169        25553.623       -4.980e-01
 6007        24968.719        25557.419       -1.354e-02
 6008        24966.726        25555.288       -1.437e-01
 6009        24973.419        25562.445       -1.144e+00
 6010        24965.058        25553.505       -5.317e-01
 6011        24968.219        25556.885       -1.208e-02
 6012        24969.532        25558.289       -6.471e-02
 6013        24972.686        25561.662       -8.349e-01
 6014        24966.081        25554.599       -2.635e-01
 6015        24964.840        25553.272       -6.011e-01
 6016        24967.351        25555.957       -6.381e-02
 6017        24971.799        25560.713       -5.264e-01
 6018        24969.251        25557.988       -4.019e-02
 6019        24964.888        25553.324       -5.853e-01
 6020        24967.306        25555.908       -6.839e-02
 6021        24972.116        25561.052       -6.284e-01
 6022        24969.644        25558.408       -7.646e-02
 6023        24965.313        25553.778       -4.557e-01
 6024        24968.242        25556.910       -1.165e-02
 6025        24971.918        25560.840       -5.635e-01
 6026        24970.557        25559.385       -2.153e-01
 6027        24965.313        25553.778       -4.557e-01
 6028        24967.301        25555.903       -6.892e-02
 6029        24969.744        25558.515       -8.793e-02
 6030        24970.219        25559.024       -1.550e-01
 6031        24968.398        25557.076       -9.983e-03
 6032        24967.337        25555.941       -6.525e-02
 6033        24969.662        25558.428       -7.848e-02
 6034        24969.948        25558.733       -1.141e-01
 6035        24968.187        25556.850       -1.278e-02
 6036        24967.337        25555.941       -6.525e-02
 6037        24969.403        25558.151       -5.256e-02
 6038        24969.494        25558.248       -6.091e-02
 6039        24967.707        25556.338       -3.425e-02
 6040        24968.309        25556.981       -1.066e-02
 6041        24969.646        25558.411       -7.672e-02
 6042        24969.537        25558.294       -6.520e-02
 6043        24967.777        25556.412       -2.984e-02
 6044        24968.342        25557.016       -1.033e-02
 6045        24969.987        25558.775       -1.197e-01
 6046        24969.330        25558.073       -4.633e-02
 6047        24967.901        25556.545       -2.303e-02
 6048        24968.827        25557.535       -1.687e-02
 6049        24970.308        25559.119       -1.699e-01
 6050        24968.889        25557.601       -1.923e-02
 6051        24968.120        25556.779       -1.451e-02
 6052        24968.817        25557.525       -1.652e-02
 6053        24969.446        25558.196       -5.638e-02
 6054        24969.318        25558.060       -4.535e-02
 6055        24968.300        25556.971       -1.078e-02
 6056        24968.965        25557.682       -2.263e-02
 6057        24969.907        25558.689       -1.086e-01
 6058        24969.298        25558.038       -4.374e-02
 6059        24968.411        25557.090       -9.947e-03
 6060        24969.093        25557.819       -2.954e-02
 6061        24970.535        25559.361       -2.110e-01
 6062        24968.690        25557.389       -1.285e-02
 6063        24968.311        25556.983       -1.064e-02
 6064        24968.949        25557.666       -2.189e-02
 6065        24971.894        25560.814       -5.559e-01
 6066        24968.933        25557.649       -2.117e-02
 6067        24968.082        25556.738       -1.568e-02
 6068        24968.558        25557.247       -1.058e-02
 6069        24970.628        25559.460       -2.292e-01
 6070        24968.936        25557.651       -2.128e-02
 6071        24967.497        25556.113       -5.032e-02
 6072        24968.714        25557.414       -1.341e-02
 6073        24971.180        25560.051       -3.538e-01
 6074        24969.520        25558.276       -6.346e-02
 6075        24967.833        25556.472       -2.661e-02
 6076        24967.252        25555.851       -7.406e-02
 6077        24972.745        25561.724       -8.578e-01
 6078        24969.520        25558.276       -6.346e-02
 6079        24967.146        25555.738       -8.606e-02
 6080        24967.278        25555.879       -7.129e-02
 6081        24972.745        25561.724       -8.578e-01
 6082        24969.520        25558.276       -6.346e-02
 6083        24967.180        25555.773       -8.218e-02
 6084        24967.375        25555.982       -6.146e-02
 6085        24972.745        25561.724       -8.578e-01
 6086        24971.009        25559.868       -3.122e-01
 6087        24965.680        25554.170       -3.572e-01
 6088        24968.449        25557.131       -9.921e-03
 6089        24973.911        25562.971       -1.379e+00
 6090        24971.460        25560.350       -4.275e-01
 6091        24963.541        25551.883       -1.105e+00
 6092        24967.217        25555.813       -7.798e-02
 6093        24972.301        25561.249       -6.921e-01
 6094        24973.277        25562.293       -1.080e+00
 6095        24963.541        25551.883       -1.105e+00
 6096        24966.469        25555.013       -1.869e-01
 6097        24969.938        25558.723       -1.129e-01
 6098        24973.277        25562.293       -1.080e+00
 6099        24963.541        25551.883       -1.105e+00
 6100        24969.201        25557.934       -3.654e-02
 6101        24971.951        25560.875       -5.741e-01
 6102        24972.841        25561.827       -8.962e-01
 6103        24961.932        25550.163       -1.943e+00
 6104        24966.472        25555.016       -1.864e-01
 6105        24971.951        25560.875       -5.741e-01
 6106        24971.683        25560.589       -4.914e-01
 6107        24965.359        25553.826       -4.429e-01
 6108        24966.779        25555.345       -1.356e-01
 6109        24971.951        25560.875       -5.741e-01
 6110        24971.728        25560.636       -5.046e-01
 6111        24965.813        25554.313       -3.245e-01
 6112        24967.582        25556.204       -4.331e-02
 6113        24970.443        25559.262       -1.937e-01
 6114        24971.728        25560.636       -5.046e-01
 6115        24965.852        25554.354       -3.152e-01
 6116        24969.108        25557.836       -3.050e-02
 6117        24968.851        25557.560       -1.773e-02
 6118        24972.906        25561.897       -9.226e-01
 6119        24966.376        25554.914       -2.041e-01
 6120        24969.050        25557.773       -2.708e-02
 6121        24968.792        25557.497       -1.566e-02
 6122        24970.931        25559.785       -2.941e-01
 6123        24966.425        25554.967       -1.949e-01
 6124        24969.050        25557.773       -2.708e-02
 6125        24970.304        25559.114       -1.691e-01
 6126        24972.892        25561.882       -9.168e-01
 6127        24966.051        25554.566       -2.701e-01
 6128        24969.050        25557.773       -2.708e-02
 6129        24970.304        25559.114       -1.691e-01
 6130        24972.502        25561.464       -7.648e-01
 6131        24964.432        25552.836       -7.427e-01
