polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation 2.
the distribution of models in this file comes from Markov chain Monte Carlo fits to the pair of Voyager 2 radio occultations reported in Lindal et al. 1987.
index         r_pol_km          r_eq_km              lnp 
  144        24962.308        25550.565       -1.726e+00
  145        24972.257        25561.202       -6.765e-01
  146        24967.844        25556.484       -2.597e-02
  147        24971.720        25560.628       -5.022e-01
  148        24964.366        25552.765       -7.671e-01
  149        24972.257        25561.202       -6.765e-01
  150        24967.022        25555.605       -1.014e-01
  151        24974.099        25563.172       -1.475e+00
  152        24964.366        25552.765       -7.671e-01
  153        24971.692        25560.599       -4.941e-01
  154        24967.022        25555.605       -1.014e-01
  155        24973.264        25562.279       -1.075e+00
  156        24969.074        25557.799       -2.846e-02
  157        24973.864        25562.921       -1.356e+00
  158        24967.670        25556.298       -3.678e-02
  159        24973.264        25562.279       -1.075e+00
  160        24965.302        25553.766       -4.589e-01
  161        24974.171        25563.249       -1.512e+00
  162        24967.012        25555.594       -1.028e-01
  163        24973.031        25562.030       -9.742e-01
  164        24964.967        25553.407       -5.602e-01
  165        24973.824        25562.878       -1.336e+00
  166        24967.012        25555.594       -1.028e-01
  167        24973.419        25562.445       -1.144e+00
  168        24965.040        25553.486       -5.372e-01
  169        24973.824        25562.878       -1.336e+00
  170        24967.050        25555.635       -9.784e-02
  171        24969.791        25558.566       -9.368e-02
  172        24965.040        25553.486       -5.372e-01
  173        24973.531        25562.564       -1.195e+00
  174        24966.735        25555.298       -1.423e-01
  175        24968.455        25557.137       -9.928e-03
  176        24963.282        25551.606       -1.224e+00
  177        24971.140        25560.009       -3.438e-01
  178        24967.361        25555.968       -6.277e-02
  179        24968.455        25557.137       -9.928e-03
  180        24965.121        25553.572       -5.124e-01
  181        24970.406        25559.223       -1.870e-01
  182        24967.361        25555.968       -6.277e-02
  183        24969.426        25558.176       -5.462e-02
  184        24963.416        25551.749       -1.162e+00
  185        24972.151        25561.089       -6.402e-01
  186        24969.684        25558.451       -8.097e-02
  187        24969.071        25557.796       -2.827e-02
  188        24965.398        25553.869       -4.319e-01
  189        24972.411        25561.367       -7.316e-01
  190        24971.978        25560.904       -5.826e-01
  191        24970.047        25558.839       -1.283e-01
  192        24965.422        25553.895       -4.252e-01
  193        24972.112        25561.047       -6.268e-01
  194        24971.978        25560.904       -5.826e-01
  195        24970.158        25558.958       -1.452e-01
  196        24966.582        25555.135       -1.671e-01
  197        24972.112        25561.047       -6.268e-01
  198        24971.978        25560.904       -5.826e-01
  199        24970.624        25559.457       -2.285e-01
  200        24967.417        25556.028       -5.742e-02
  201        24972.214        25561.156       -6.615e-01
  202        24972.052        25560.983       -6.070e-01
  203        24972.728        25561.706       -8.513e-01
  204        24968.258        25556.926       -1.138e-02
  205        24972.277        25561.224       -6.835e-01
  206        24972.129        25561.065       -6.326e-01
  207        24973.018        25562.016       -9.689e-01
  208        24968.258        25556.926       -1.138e-02
  209        24972.203        25561.145       -6.580e-01
  210        24972.128        25561.064       -6.322e-01
  211        24972.748        25561.727       -8.588e-01
  212        24969.954        25558.740       -1.151e-01
  213        24972.236        25561.179       -6.691e-01
  214        24972.152        25561.090       -6.405e-01
  215        24973.178        25562.188       -1.037e+00
  216        24968.236        25556.903       -1.177e-02
  217        24971.968        25560.893       -5.794e-01
  218        24972.152        25561.090       -6.405e-01
  219        24973.263        25562.278       -1.074e+00
  220        24965.362        25553.830       -4.420e-01
  221        24971.831        25560.747       -5.361e-01
  222        24972.140        25561.077       -6.364e-01
  223        24972.717        25561.695       -8.470e-01
  224        24966.593        25555.146       -1.653e-01
  225        24971.817        25560.731       -5.317e-01
  226        24971.986        25560.913       -5.854e-01
  227        24973.636        25562.677       -1.245e+00
  228        24966.631        25555.187       -1.589e-01
  229        24971.426        25560.314       -4.182e-01
  230        24971.583        25560.482       -4.620e-01
  231        24974.285        25563.371       -1.573e+00
  232        24966.631        25555.187       -1.589e-01
  233        24971.426        25560.314       -4.182e-01
  234        24971.672        25560.577       -4.880e-01
  235        24974.919        25564.049       -1.930e+00
  236        24965.574        25554.057       -3.844e-01
  237        24971.325        25560.206       -3.910e-01
  238        24971.672        25560.577       -4.880e-01
  239        24975.029        25564.167       -1.995e+00
  240        24966.558        25555.109       -1.713e-01
  241        24971.018        25559.877       -3.142e-01
  242        24971.672        25560.577       -4.880e-01
  243        24977.827        25567.159       -4.039e+00
  244        24966.558        25555.109       -1.713e-01
  245        24970.794        25559.638       -2.636e-01
  246        24971.771        25560.682       -5.177e-01
  247        24977.827        25567.159       -4.039e+00
