       Table 1 (Garcia-Melendo et al.)

 Averaged mean zonal flow from Cassini ISS
 CB2 and CB3 images, from 2004 to 2008.

 Lat       Lat       u      sigma-u    Number
 Pc        Pg       m/s       m/s    of points
------    -----     -----   -------  ---------
49.5      55.2      -2.8      2.7       30
49.7      55.4      -2.8      2.6       30
49.9      55.6      -2.7      2.3       30
50.1      55.8      -2.4      2.6       30
50.3      56.0      -1.9      2.6       30
50.5      56.1      -1.0      2.4       30
50.7      56.3      0.3       2.8       28
50.9      56.5      1.2       3.0       29
51.1      56.7      3.5       2.9       30
51.3      56.9      5.0       3.0       30
51.5      57.1      6.3       2.9       30
51.7      57.3      8.1       3.5       30
51.9      57.5      10.6      4.0       30
52.1      57.6      14.8      4.3       29
52.3      57.8      16.9      4.0       30
52.5      58.0      19.6      3.6       30
52.6      58.1      22.4      5.2       29
52.8      58.3      27.1      4.1       29
53.1      58.6      29.9      3.8       30
53.3      58.8      33.6      4.8       30
53.5      58.9      38.8      4.5       30
53.7      59.1      42.3      3.8       28
53.9      59.3      46.1      4.5       29
54.1      59.5      50.7      4.9       30
54.3      59.7      55.6      4.5       30
54.5      59.9      60.9      4.7       30
54.7      60.1      65.9      5.0       30
54.9      60.2      69.8      4.3       30
55.1      60.4      73.8      4.3       30
55.3      60.6      78.4      3.7       30
55.5      60.8      83.2      4.4       30
55.7      61.0      86.9      4.2       30
55.9      61.1      89.7      3.8       30
56.1      61.3      91.7      3.0       30
56.3      61.5      92.5      2.8       30
56.5      61.7      92.1      2.5       30
56.7      61.9      90.4      2.1       30
56.9      62.1      87.3      2.3       30
57.1      62.2      84.2      2.3       30
57.3      62.4      81.5      1.9       30
57.5      62.6      78.5      2.2       30
57.7      62.8      75.1      2.1       30
57.9      63.0      71.8      2.6       30
58.1      63.1      69.3      1.8       30
58.3      63.3      67.2      1.7       30
58.5      63.5      65.5      2.1       30
58.7      63.7      64.1      2.5       30
58.9      63.9      63.0      2.5       30
59.1      64.0      62.5      2.4       30
59.3      64.2      62.5      2.5       30
59.5      64.4      63.2      2.7       30
59.7      64.6      64.4      3.4       30
59.9      64.7      65.4      3.3       30
60.1      64.9      67.8      2.8       30
60.3      65.1      70.0      4.3       30
60.5      65.3      73.5      4.6       30
60.7      65.5      77.2      4.3       30
60.9      65.6      81.8      5.0       30
61.1      65.8      87.1      5.6       29
61.3      66.0      92.2      4.9       30
61.5      66.2      95.0      2.8       30
61.7      66.3      96.4      1.8       30
61.9      66.5      96.3      1.8       30
62.1      66.7      94.6      2.9       30
62.3      66.9      89.1      3.8       30
62.5      67.0      81.2      5.1       30
62.6      67.1      74.7      4.8       28
62.9      67.4      66.2      6.2       30
63.1      67.6      59.2      7.2       30
63.3      67.7      50.6      3.3       29
63.5      67.9      44.6      3.3       30
63.7      68.1      39.7      4.3       30
63.8      68.2      34.4      2.3       27
64.0      68.4      30.6      2.2       27
64.3      68.6      27.4      1.6       23
64.5      68.8      24.3      3.1       25
64.7      69.0      21.6      3.2       29
64.9      69.1      19.1      3.1       30
65.1      69.3      16.1      2.9       30
65.3      69.5      13.0      3.1       30
65.5      69.7      9.3       2.9       28
65.7      69.8      7.1       2.9       30
65.8      69.9      4.4       2.8       29
66.1      70.2      1.7       2.5       28
66.3      70.3      -0.6      2.0       29
66.5      70.5      -1.7      2.0       30
66.7      70.7      -2.4      2.3       30
66.9      70.9      -3.6      1.9       30
67.0      70.9      -5.2      1.6       29
67.3      71.2      -6.2      1.6       29
67.5      71.4      -7.2      1.7       30
67.7      71.5      -7.7      2.1       28
67.9      71.7      -8.3      2.0       30
68.0      71.8      -9.2      1.6       27
68.3      72.1      -10.0     1.8       28
68.4      72.1      -10.4     2.2       27
68.7      72.4      -10.5     2.3       26
68.9      72.6      -11.3     2.0       28
69.1      72.7      -11.9     2.0       30
69.3      72.9      -12.0     1.9       28
69.4      73.0      -12.2     2.6       29
69.7      73.2      -11.6     2.3       30
69.9      73.4      -11.3     2.1       30
70.1      73.6      -11.1     2.1       37
70.3      73.8      -10.9     1.9       38
70.5      73.9      -10.6     3.0       32
70.7      74.1      -10.7     2.2       36
70.9      74.3      -9.3      2.7       35
71.1      74.4      -7.7      3.7       38
71.3      74.6      -6.3      4.3       37
71.5      74.8      -7.0      2.8       32
71.7      74.9      -4.7      3.1       38
71.9      75.1      -4.0      4.1       30
72.0      75.2      -1.2      4.3       40
72.3      75.4      -0.9      3.5       36
72.4      75.5      2.5       5.1       40
72.7      75.8      3.2       5.7       26
72.9      75.9      9.5       8.3       30
73.1      76.1      12.3      8.6       38
73.3      76.3      14.9      7.7       39
73.4      76.4      19.3      11.3      41
73.6      76.5      24.3      12.2      34
73.8      76.7      26.3      12.4      21
74.1      77.0      34.3      15.6      19
74.2      77.0      50.1      13.2      27
74.4      77.2      61.8      11.1      12
74.6      77.4      70.3      9.4       22
74.9      77.6      79.0      17.0      9
75.0      77.7      74.2      19.8      4
75.2      77.9      91.7      4.4       6
75.4      78.0      94.0      4.0       2
75.9      78.4      91.0      0.0       1
76.1      78.6      68.0      0.0       1
76.5      78.9      48.3      4.8       13
76.6      79.0      47.8      6.1       7
76.8      79.2      41.2      8.2       19
77.1      79.4      32.3      2.9       18
77.3      79.6      30.9      1.7       20
77.4      79.7      26.2      3.2       14
77.6      79.9      19.9      2.5       5
77.9      80.1      12.6      3.1       14
78.0      80.2      12.9      2.7       16
78.5      80.6      14.5      1.2       4
78.7      80.8      12.2      1.4       20
78.9      80.9      10.5      4.1       18
79.0      81.0      9.6       5.4       18
79.2      81.2      12.7      0.0       2
79.5      81.4      7.4       4.2       6
79.6      81.5      10.8      3.9       4
79.8      81.7      9.4       5.3       15
80.0      81.8      10.4      1.0       5
80.3      82.1      13.7      2.6       7
80.4      82.2      12.4      6.2       14
80.6      82.3      20.3      1.9       16
80.8      82.5      18.8      2.5       15
81.1      82.7      22.8      1.8       19
81.3      82.9      23.3      1.5       20
81.4      83.0      25.4      2.4       15
81.9      83.4      33.0      3.0       8
82.1      83.6      33.0      3.4       20
82.3      83.7      32.9      3.0       20
82.5      83.9      43.2      1.2       3
82.6      84.0      39.7      6.3       6
82.9      84.2      41.6      4.2       7
