       Table 1 (Garcia-Melendo et al.)

 Averaged mean zonal flow from Cassini ISS
 CB2 and CB3 images, from 2004 to 2008.

 Lat       Lat       u      sigma-u    Number
 Pc        Pg       m/s       m/s    of points
------    -----     -----   -------  ---------
-59.6     -64.5     9.8       2.2       62
-59.4     -64.2     11.5      2.5       62
-59.2     -64.1     12.7      2.3       62
-59.0     -63.9     13.7      1.9       62
-58.7     -63.7     15.1      2.2       62
-58.6     -63.6     16.4      2.2       62
-58.4     -63.4     17.6      2.8       62
-58.2     -63.2     19.9      3.7       60
-58.0     -63.0     24.6      9.6       60
-57.8     -62.9     36.2      11.9      56
-57.5     -62.6     51.0      12.4      54
-57.4     -62.5     60.5      14.2      52
-57.2     -62.2     68.1      9.8       52
-57.0     -62.1     83.3      15.3      49
-56.8     -62.0     103.7     14.9      42
-56.6     -61.8     112.2     14.9      49
-56.4     -61.6     126.8     9.0       45
-56.2     -61.4     133.1     6.8       49
-56.0     -61.2     140.4     8.3       45
-55.7     -61.0     144.7     7.3       51
-55.6     -60.9     146.5     5.2       51
-55.4     -60.7     143.5     9.0       45
-55.2     -60.5     139.0     7.8       49
-54.9     -60.2     133.8     5.6       49
-54.7     -60.1     130.9     4.8       50
-54.5     -59.9     128.0     5.9       48
-54.4     -59.7     122.4     6.5       52
-54.2     -59.6     117.8     7.1       51
-54.0     -59.4     113.0     4.5       50
-53.7     -59.1     109.4     4.8       53
-53.5     -58.9     106.0     3.8       51
-53.4     -58.9     102.2     3.3       54
-53.2     -58.7     96.6      3.6       54
-53.0     -58.5     93.0      4.2       56
-52.7     -58.2     88.6      4.0       57
-52.5     -58.0     83.1      3.2       57
-52.4     -57.9     79.0      4.6       60
-52.1     -57.6     74.4      4.9       59
-51.9     -57.5     69.4      4.8       59
-51.7     -57.3     65.6      4.3       60
-51.6     -57.2     59.8      5.6       61
-51.4     -57.0     57.4      4.0       60
-51.1     -56.7     54.3      3.0       60
-51.0     -56.6     51.1      2.8       62
-50.7     -56.4     46.2      4.1       62
-50.5     -56.1     41.4      3.8       61
-50.4     -56.1     38.6      3.3       60
-50.2     -55.9     35.2      2.8       60
-50.0     -55.7     32.3      2.5       60
-49.7     -55.5     30.4      3.0       62
-49.6     -55.2     28.2      2.1       62
-49.4     -55.1     26.2      2.7       62
-49.2     -54.9     23.9      2.8       62
-49.0     -54.7     22.4      2.5       62
-48.7     -54.5     21.4      2.0       62
-48.6     -54.3     20.9      2.1       62
-48.4     -54.2     20.7      2.2       61
-48.1     -53.9     20.7      2.1       59
-47.9     -53.7     21.9      3.4       61
-47.7     -53.6     23.0      2.9       62
-47.6     -53.4     24.0      2.4       62
-47.4     -53.2     25.7      2.6       62
-47.2     -53.0     27.6      2.4       62
-47.0     -52.7     30.6      3.0       60
-46.7     -52.6     34.2      3.1       62
-46.6     -52.4     36.8      2.7       57
-46.3     -52.1     40.0      3.9       56
-46.1     -51.9     42.8      4.0       59
-46.0     -51.7     47.2      4.4       62
-45.7     -51.5     52.5      3.3       61
-45.6     -51.5     57.2      3.2       62
-45.4     -51.3     60.9      3.0       61
-45.2     -51.1     65.8      3.4       62
-45.0     -50.9     71.4      4.6       61
-44.8     -50.7     78.4      5.7       55
-44.6     -50.5     85.0      6.6       56
-44.3     -50.2     91.2      7.8       49
-44.2     -50.1     97.0      8.3       54
-43.9     -49.8     104.3     7.5       52
-43.8     -49.7     112.8     6.1       55
-43.6     -49.5     118.6     6.8       52
-43.4     -49.3     122.7     6.8       50
-43.1     -49.0     125.1     7.3       45
-43.0     -48.9     127.0     11.3      41
-42.8     -48.7     123.3     11.4      33
-42.5     -48.4     130.1     14.2      33
-42.3     -48.2     144.0     12.4      39
-42.2     -48.1     139.5     9.1       45
-42.0     -47.9     130.3     10.0      44
-41.8     -47.7     119.2     8.2       46
-41.5     -47.4     113.7     8.1       49
-41.4     -47.3     108.5     9.1       52
-41.1     -47.0     100.8     9.0       53
-41.0     -46.9     90.0      11.0      55
-40.7     -46.6     76.7      5.4       56
-40.6     -46.5     69.0      10.7      59
-40.3     -46.2     63.5      8.1       61
-40.2     -46.1     56.5      10.2      61
-39.9     -45.8     48.8      6.8       61
-39.8     -45.7     43.2      6.7       60
-39.6     -45.5     37.6      4.9       62
-39.4     -45.3     32.8      3.2       62
-39.2     -45.1     26.6      4.8       61
-39.0     -44.9     22.7      4.8       61
-38.8     -44.7     20.4      4.2       61
-38.6     -44.5     16.2      4.3       62
-38.4     -44.2     13.1      4.1       62
-38.2     -44.0     10.7      4.2       61
-38.0     -43.8     7.8       4.4       62
-37.8     -43.6     5.0       4.7       61
-37.6     -43.4     1.6       3.3       57
-37.3     -43.1     0.8       2.4       61
-37.2     -43.0     -1.0      2.2       60
-36.9     -42.7     -2.2      2.3       61
-36.8     -42.6     -3.6      2.0       62
-36.6     -42.4     -4.3      1.5       62
-36.4     -42.2     -4.9      2.2       61
-36.1     -41.9     -5.8      2.6       61
-36.0     -41.8     -6.4      2.8       62
-35.8     -41.5     -7.5      2.7       62
-35.6     -41.3     -8.3      3.1       62
-35.4     -41.1     -9.1      2.7       62
-35.2     -40.9     -10.4     2.5       62
-35.0     -40.7     -11.4     2.7       62
-34.8     -40.5     -11.9     3.0       62
-34.6     -40.3     -12.1     2.8       62
-34.4     -40.1     -12.8     2.7       62
-34.1     -39.8     -13.1     2.7       61
-34.0     -39.7     -12.3     2.6       62
-33.8     -39.4     -11.5     2.7       62
-33.6     -39.2     -9.6      2.9       62
-33.4     -39.0     -7.0      2.5       60
-33.2     -38.8     -4.0      3.0       60
-33.0     -38.6     -1.1      3.8       60
-32.8     -38.4     1.8       3.7       58
-32.6     -38.2     5.2       5.1       62
-32.4     -37.9     9.9       4.8       61
-32.2     -37.7     14.0      5.0       60
-32.0     -37.5     18.2      4.4       62
-31.8     -37.3     23.2      5.0       62
-31.6     -37.1     28.7      6.7       62
-31.4     -36.9     33.4      6.7       61
-31.2     -36.7     38.4      5.8       62
-31.0     -36.4     43.3      4.1       62
-30.8     -36.2     46.3      2.9       62
-30.6     -36.0     48.2      2.2       62
-30.4     -35.8     50.3      1.4       62
-30.2     -35.6     51.8      1.7       62
-30.0     -35.3     53.0      2.8       102
-29.7     -35.1     54.6      2.8       98
-29.6     -34.9     56.3      3.0       98
-29.4     -34.7     58.4      3.1       98
-29.2     -34.5     60.3      3.4       98
-29.0     -34.3     63.1      3.6       97
-28.8     -34.0     66.4      4.3       97
-28.6     -33.7     70.2      4.8       90
-28.4     -33.6     73.9      5.0       90
-28.2     -33.4     78.0      4.4       90
-28.0     -33.2     82.6      4.3       79
-27.8     -32.9     85.7      3.6       74
-27.6     -32.7     86.2      3.4       74
-27.4     -32.5     86.4      3.8       74
-27.2     -32.3     84.4      4.6       74
-27.0     -32.0     80.3      5.8       74
-26.8     -31.8     76.1      5.9       74
-26.6     -31.6     71.8      4.9       74
-26.4     -31.4     68.0      3.5       74
-26.2     -31.2     65.6      3.3       74
-26.0     -30.9     63.8      2.8       74
-25.8     -30.7     61.0      3.1       74
-25.6     -30.5     59.3      3.4       74
-25.4     -30.3     59.1      3.1       74
-25.2     -30.0     59.8      3.4       74
-25.0     -29.8     61.2      4.1       74
-24.8     -29.6     64.1      4.6       74
-24.6     -29.4     66.9      4.7       74
-24.4     -29.1     68.4      4.6       74
-24.2     -28.9     70.8      5.3       74
-24.0     -28.7     74.4      6.1       74
-23.8     -28.4     78.4      5.9       74
-23.6     -28.2     81.6      6.8       69
-23.3     -27.9     86.4      6.7       71
-23.2     -27.8     90.2      7.1       69
-23.0     -27.5     95.7      7.4       61
-22.7     -27.2     100.5     7.7       68
-22.5     -27.0     102.9     6.3       73
-22.4     -26.9     106.1     4.2       74
-22.2     -26.6     108.2     4.4       74
-21.9     -26.3     110.7     4.3       73
-21.8     -26.2     113.3     4.3       68
-21.5     -25.8     116.8     4.2       71
-21.4     -25.7     119.8     4.2       72
-21.2     -25.5     122.9     3.2       72
-21.0     -25.2     125.2     3.1       74
-20.8     -25.0     126.8     2.9       74
-20.6     -24.8     129.0     2.9       74
-20.4     -24.5     131.1     2.8       74
-20.2     -24.3     133.2     3.2       74
-20.0     -24.1     135.5     3.7       80
-19.8     -23.9     138.7     4.0       77
-19.6     -23.6     143.0     4.4       80
-19.4     -23.4     147.9     5.0       80
-19.2     -23.2     152.8     4.9       78
-19.0     -22.9     157.2     4.3       78
-18.8     -22.7     160.8     3.8       75
-18.6     -22.5     164.3     4.1       78
-18.4     -22.2     168.7     4.6       75
-18.2     -22.0     171.0     7.0       74
-17.9     -21.7     176.4     5.1       74
-17.7     -21.4     181.5     5.3       77
-17.6     -21.3     185.3     4.2       76
-17.3     -21.0     191.3     5.5       76
-17.1     -20.7     196.6     5.4       79
-17.0     -20.6     201.8     4.7       80
-16.8     -20.3     206.3     3.9       78
-16.6     -20.1     209.4     4.9       78
-16.3     -19.8     213.4     4.5       77
-16.1     -19.5     217.7     4.1       79
-16.0     -19.4     221.4     3.7       80
-15.8     -19.2     224.4     4.0       80
-15.6     -18.9     228.5     4.4       78
-15.3     -18.6     231.8     5.6       79
-15.2     -18.4     234.7     4.3       80
-15.0     -18.2     237.2     4.4       80
-14.8     -18.0     239.2     4.5       80
-14.6     -17.7     242.1     4.5       80
-14.4     -17.5     244.1     4.3       79
-14.2     -17.3     246.6     5.4       80
-14.0     -17.0     251.7     4.8       79
-13.8     -16.8     256.9     4.7       80
-13.6     -16.5     260.3     4.6       80
-13.4     -16.3     263.5     4.8       78
-13.1     -16.0     267.6     5.2       79
-13.0     -15.8     273.3     6.4       74
-12.8     -15.6     283.3     7.9       73
-12.6     -15.3     288.7     8.4       74
-12.4     -15.1     293.2     8.1       74
-12.2     -14.9     299.0     7.2       74
-11.9     -14.5     305.6     7.1       74
-11.8     -14.4     311.0     9.4       75
-11.6     -14.1     316.8     7.3       77
-11.4     -13.9     321.8     6.8       72
-11.1     -13.6     328.6     6.8       76
-11.0     -13.4     332.9     6.2       77
-10.7     -13.1     336.6     5.2       77
-10.5     -12.9     339.6     4.9       77
-10.4     -12.7     342.9     5.1       76
-10.2     -12.4     346.5     5.2       75
-9.9      -12.2     349.7     5.2       76
-9.8      -12.0     353.3     4.5       80
-9.6      -11.7     355.8     4.6       79
-9.4      -11.5     357.7     4.4       71
-9.2      -11.2     359.5     4.9       76
-9.0      -11.0     362.9     4.3       75
-8.8      -10.8     363.8     4.7       78
-8.5      -10.4     364.7     4.3       77
-8.3      -10.3     366.7     4.0       80
-8.2      -9.9      366.8     4.8       80
-7.9      -9.8      367.8     4.2       80
-7.8      -9.5      368.4     4.1       80
-7.5      -9.2      369.0     4.2       79
-7.4      -9.0      368.6     4.2       80
-7.2      -8.8      368.8     4.2       80
-6.9      -8.6      368.7     4.6       80
-6.8      -8.3      368.7     4.6       80
-6.6      -8.1      367.5     4.2       79
-6.4      -7.8      366.5     4.4       80
-6.2      -7.6      364.4     5.5       76
-6.0      -7.3      365.2     4.7       75
-5.8      -7.1      364.7     6.7       80
-5.6      -6.8      361.3     6.1       77
-5.3      -6.5      361.3     6.8       75
-5.1      -6.3      357.6     5.7       68
-5.0      -6.1      357.3     7.9       75
-4.8      -5.9      353.4     10.9      70
-4.6      -5.6      353.0     12.7      70
-4.4      -5.4      352.3     8.1       59
-4.2      -5.1      349.0     12.3      53
-3.9      -4.8      349.6     9.4       42
-3.8      -4.6      348.2     12.0      39
-3.5      -4.3      347.8     13.9      40
-3.3      -4.1      344.9     10.3      41
-3.2      -3.9      345.2     11.3      43
-3.0      -3.7      344.4     14.9      36
-2.7      -3.3      354.2     20.4      36
-2.5      -3.1      353.8     21.1      53
-2.4      -2.9      355.9     15.2      54
-2.2      -2.7      352.3     18.1      52
