detailed model output for Uranus's 1-bar reference geoid, assuming rigid rotation with period 15.25 h.
see uranus_model_symmetric_wind.txt for the corresponding shape model including the effect of the latitudinally varying atmospheric rotation.
that model used the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2) and this reference geoid satisfies the same r_pol.
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
        -1.00000          1.57080         90.00000         90.00000          0.00000          0.00011        24968.435
        -0.99981          1.55153         88.89630         88.94743          0.00089          0.00011        24968.650
        -0.99963          1.54355         88.43911         88.51140          0.00126          0.00011        24968.865
        -0.99944          1.53743         88.08828         88.17680          0.00154          0.00011        24969.079
        -0.99926          1.53227         87.79250         87.89469          0.00178          0.00011        24969.294
        -0.99907          1.52772         87.53191         87.64614          0.00199          0.00011        24969.508
        -0.99889          1.52361         87.29630         87.42140          0.00218          0.00011        24969.723
        -0.99870          1.51983         87.07962         87.21472          0.00236          0.00011        24969.937
        -0.99852          1.51631         86.87793         87.02234          0.00252          0.00011        24970.151
        -0.99833          1.51300         86.68850         86.84163          0.00267          0.00011        24970.366
        -0.99814          1.50987         86.50932         86.67070          0.00282          0.00011        24970.580
        -0.99796          1.50690         86.33888         86.50811          0.00295          0.00011        24970.794
        -0.99592          1.48041         84.82152         85.06030          0.00417          0.00011        24973.150
        -0.99388          1.46008         83.65660         83.94839          0.00509          0.00011        24975.501
        -0.99184          1.44293         82.67402         83.01019          0.00587          0.00011        24977.848
        -0.98980          1.42782         81.80791         82.18291          0.00654          0.00011        24980.192
        -0.98776          1.41414         81.02449         81.43434          0.00715          0.00011        24982.532
        -0.98571          1.40156         80.30368         80.74537          0.00771          0.00011        24984.867
        -0.98367          1.38985         79.63242         80.10354          0.00822          0.00011        24987.199
        -0.98163          1.37884         79.00164         79.50020          0.00870          0.00011        24989.527
        -0.97959          1.36842         78.40473         78.92905          0.00915          0.00011        24991.852
        -0.97755          1.35851         77.83669         78.38534          0.00958          0.00011        24994.172
        -0.97551          1.34903         77.29366         77.86539          0.00998          0.00011        24996.488
        -0.97347          1.33993         76.77255         77.36626          0.01036          0.00011        24998.801
        -0.97143          1.33118         76.27087         76.88556          0.01073          0.00011        25001.109
        -0.96939          1.32272         75.78655         76.42135          0.01108          0.00011        25003.414
        -0.96735          1.31455         75.31789         75.97199          0.01142          0.00011        25005.714
        -0.96531          1.30661         74.86342         75.53608          0.01174          0.00011        25008.011
        -0.96327          1.29891         74.42190         75.11246          0.01205          0.00011        25010.304
        -0.96122          1.29141         73.99227         74.70008          0.01235          0.00011        25012.593
        -0.95918          1.28410         73.57358         74.29808          0.01264          0.00011        25014.878
        -0.95714          1.27697         73.16502         73.90567          0.01293          0.00011        25017.159
        -0.95510          1.27000         72.76587         73.52217          0.01320          0.00011        25019.435
        -0.95306          1.26319         72.37549         73.14696          0.01346          0.00011        25021.708
        -0.95102          1.25652         71.99331         72.77951          0.01372          0.00011        25023.978
        -0.94898          1.24998         71.61881         72.41933          0.01397          0.00011        25026.243
        -0.94694          1.24357         71.25154         72.06597          0.01421          0.00011        25028.504
        -0.94490          1.23728         70.89108         71.71905          0.01445          0.00011        25030.761
        -0.94286          1.23110         70.53705         71.37820          0.01468          0.00011        25033.014
        -0.94082          1.22503         70.18910         71.04309          0.01490          0.00011        25035.263
        -0.93878          1.21906         69.84693         70.71343          0.01512          0.00011        25037.508
        -0.93673          1.21318         69.51023         70.38894          0.01534          0.00011        25039.749
        -0.93469          1.20740         69.17874         70.06937          0.01554          0.00011        25041.986
        -0.93265          1.20170         68.85223         69.75448          0.01575          0.00011        25044.219
        -0.93061          1.19608         68.53045         69.44405          0.01595          0.00011        25046.449
        -0.92857          1.19055         68.21321         69.13790          0.01614          0.00011        25048.674
        -0.92653          1.18508         67.90030         68.83583          0.01633          0.00011        25050.895
        -0.92449          1.17970         67.59155         68.53766          0.01651          0.00011        25053.112
        -0.92245          1.17438         67.28677         68.24324          0.01669          0.00011        25055.325
        -0.92041          1.16912         66.98583         67.95243          0.01687          0.00011        25057.533
        -0.91837          1.16393         66.68855         67.66506          0.01704          0.00011        25059.738
