detailed model output for Neptunes's 1-bar reference geoid, assuming rigid rotation with period 15.11 h.
see neptune_model_voyager_wind.txt for the corresponding shape model including the effect of the latitudinally varying atmospheric rotation.
that model used the symmetric Voyager wind profile from Tollefson et al. (2018, Icarus 311) Table 1.
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
        -1.00000          1.57080         90.00000         90.00000          0.00000          0.00012        24285.792
        -0.99981          1.55153         88.89630         88.93936          0.00075          0.00012        24285.968
        -0.99963          1.54355         88.43911         88.49999          0.00106          0.00012        24286.144
        -0.99944          1.53743         88.08828         88.16283          0.00130          0.00012        24286.319
        -0.99926          1.53227         87.79250         87.87856          0.00150          0.00012        24286.495
        -0.99907          1.52772         87.53191         87.62810          0.00168          0.00012        24286.671
        -0.99889          1.52361         87.29630         87.40165          0.00184          0.00012        24286.846
        -0.99870          1.51983         87.07962         87.19339          0.00199          0.00012        24287.022
        -0.99852          1.51631         86.87793         86.99954          0.00212          0.00012        24287.198
        -0.99833          1.51300         86.68850         86.81745          0.00225          0.00012        24287.373
        -0.99814          1.50987         86.50932         86.64522          0.00237          0.00012        24287.549
        -0.99796          1.50690         86.33888         86.48139          0.00249          0.00012        24287.724
        -0.99592          1.48041         84.82152         85.02258          0.00351          0.00012        24289.653
        -0.99388          1.46008         83.65660         83.90228          0.00429          0.00012        24291.579
        -0.99184          1.44293         82.67402         82.95706          0.00494          0.00012        24293.501
        -0.98980          1.42782         81.80791         82.12362          0.00551          0.00012        24295.420
        -0.98776          1.41414         81.02449         81.36952          0.00602          0.00012        24297.336
        -0.98571          1.40156         80.30368         80.67549          0.00649          0.00012        24299.248
        -0.98367          1.38985         79.63242         80.02898          0.00692          0.00012        24301.157
        -0.98163          1.37884         79.00164         79.42127          0.00732          0.00012        24303.063
        -0.97959          1.36842         78.40473         78.84601          0.00770          0.00012        24304.966
        -0.97755          1.35851         77.83669         78.29842          0.00806          0.00012        24306.865
        -0.97551          1.34903         77.29366         77.77479          0.00840          0.00012        24308.760
        -0.97347          1.33993         76.77255         77.27214          0.00872          0.00012        24310.653
        -0.97143          1.33118         76.27087         76.78809          0.00903          0.00012        24312.542
        -0.96939          1.32272         75.78655         76.32066          0.00932          0.00012        24314.427
        -0.96735          1.31455         75.31789         75.86820          0.00960          0.00012        24316.309
        -0.96531          1.30661         74.86342         75.42931          0.00988          0.00012        24318.188
        -0.96327          1.29891         74.42190         75.00281          0.01014          0.00012        24320.064
        -0.96122          1.29141         73.99227         74.58766          0.01039          0.00012        24321.936
        -0.95918          1.28410         73.57358         74.18297          0.01064          0.00012        24323.805
        -0.95714          1.27697         73.16502         73.78796          0.01087          0.00012        24325.670
        -0.95510          1.27000         72.76587         73.40193          0.01110          0.00012        24327.532
        -0.95306          1.26319         72.37549         73.02427          0.01132          0.00012        24329.391
        -0.95102          1.25652         71.99331         72.65443          0.01154          0.00012        24331.246
        -0.94898          1.24998         71.61881         72.29193          0.01175          0.00012        24333.098
        -0.94694          1.24357         71.25154         71.93632          0.01195          0.00012        24334.947
