detailed model output for Uranus's 1-bar reference geoid, assuming rigid rotation with period 16.25 h.
see uranus_model_symmetric_wind.txt for the corresponding shape model including the effect of the latitudinally varying atmospheric rotation.
that model used the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2) and this reference geoid satisfies the same r_pol.
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
        -1.00000          1.57080         90.00000         90.00000          0.00000          0.00011        24968.435
        -0.99981          1.55153         88.89630         88.94275          0.00081          0.00011        24968.630
        -0.99963          1.54355         88.43911         88.50478          0.00115          0.00011        24968.825
        -0.99944          1.53743         88.08828         88.16869          0.00140          0.00011        24969.020
        -0.99926          1.53227         87.79250         87.88533          0.00162          0.00011        24969.215
        -0.99907          1.52772         87.53191         87.63567          0.00181          0.00011        24969.410
        -0.99889          1.52361         87.29630         87.40994          0.00198          0.00011        24969.605
        -0.99870          1.51983         87.07962         87.20235          0.00214          0.00011        24969.799
        -0.99852          1.51631         86.87793         87.00911          0.00229          0.00011        24969.994
        -0.99833          1.51300         86.68850         86.82760          0.00243          0.00011        24970.189
        -0.99814          1.50987         86.50932         86.65591          0.00256          0.00011        24970.384
        -0.99796          1.50690         86.33888         86.49260          0.00268          0.00011        24970.578
        -0.99592          1.48041         84.82152         85.03841          0.00379          0.00011        24972.718
        -0.99388          1.46008         83.65660         83.92163          0.00463          0.00011        24974.853
        -0.99184          1.44293         82.67402         82.97936          0.00533          0.00011        24976.985
        -0.98980          1.42782         81.80791         82.14850          0.00594          0.00011        24979.114
        -0.98776          1.41414         81.02449         81.39672          0.00650          0.00011        24981.239
        -0.98571          1.40156         80.30368         80.70482          0.00700          0.00011        24983.360
        -0.98367          1.38985         79.63242         80.06027          0.00747          0.00011        24985.478
        -0.98163          1.37884         79.00164         79.45439          0.00790          0.00011        24987.592
        -0.97959          1.36842         78.40473         78.88085          0.00831          0.00011        24989.702
        -0.97755          1.35851         77.83669         78.33489          0.00870          0.00011        24991.809
        -0.97551          1.34903         77.29366         77.81280          0.00906          0.00011        24993.912
        -0.97347          1.33993         76.77255         77.31162          0.00941          0.00011        24996.011
        -0.97143          1.33118         76.27087         76.82898          0.00974          0.00011        24998.107
        -0.96939          1.32272         75.78655         76.36290          0.01006          0.00011        25000.199
        -0.96735          1.31455         75.31789         75.91173          0.01036          0.00011        25002.288
        -0.96531          1.30661         74.86342         75.47410          0.01066          0.00011        25004.372
        -0.96327          1.29891         74.42190         75.04880          0.01094          0.00011        25006.454
        -0.96122          1.29141         73.99227         74.63481          0.01121          0.00011        25008.531
        -0.95918          1.28410         73.57358         74.23125          0.01148          0.00011        25010.605
        -0.95714          1.27697         73.16502         73.83733          0.01173          0.00011        25012.675
        -0.95510          1.27000         72.76587         73.45235          0.01198          0.00011        25014.741
        -0.95306          1.26319         72.37549         73.07572          0.01222          0.00011        25016.804
        -0.95102          1.25652         71.99331         72.70688          0.01245          0.00011        25018.863
        -0.94898          1.24998         71.61881         72.34535          0.01268          0.00011        25020.918
        -0.94694          1.24357         71.25154         71.99068          0.01290          0.00011        25022.970
        -0.94490          1.23728         70.89108         71.64248          0.01311          0.00011        25025.018
        -0.94286          1.23110         70.53705         71.30039          0.01332          0.00011        25027.062
        -0.94082          1.22503         70.18910         70.96407          0.01353          0.00011        25029.103
        -0.93878          1.21906         69.84693         70.63322          0.01372          0.00011        25031.140
        -0.93673          1.21318         69.51023         70.30757          0.01392          0.00011        25033.173
        -0.93469          1.20740         69.17874         69.98687          0.01410          0.00011        25035.202
        -0.93265          1.20170         68.85223         69.67087          0.01429          0.00011        25037.228
        -0.93061          1.19608         68.53045         69.35936          0.01447          0.00011        25039.249
        -0.92857          1.19055         68.21321         69.05215          0.01464          0.00011        25041.268
        -0.92653          1.18508         67.90030         68.74904          0.01481          0.00011        25043.282
        -0.92449          1.17970         67.59155         68.44987          0.01498          0.00011        25045.293
        -0.92245          1.17438         67.28677         68.15446          0.01514          0.00011        25047.299
        -0.92041          1.16912         66.98583         67.86267          0.01530          0.00011        25049.303
        -0.91837          1.16393         66.68855         67.57435          0.01546          0.00011        25051.302
        -0.91633          1.15881         66.39482         67.28938          0.01561          0.00011        25053.298
        -0.91429          1.15374         66.10449         67.00763          0.01576          0.00011        25055.289
        -0.91224          1.14873         65.81745         66.72898          0.01591          0.00011        25057.277
        -0.91020          1.14378         65.53357         66.45332          0.01605          0.00011        25059.262
        -0.90816          1.13888         65.25275         66.18055          0.01619          0.00011        25061.242
        -0.90612          1.13403         64.97488         65.91057          0.01633          0.00011        25063.219
        -0.90408          1.12923         64.69988         65.64328          0.01647          0.00011        25065.192
        -0.90204          1.12447         64.42763         65.37860          0.01660          0.00011        25067.161
        -0.90000          1.11977         64.15807         65.11644          0.01673          0.00011        25069.126
        -0.89796          1.11511         63.89109         64.85673          0.01685          0.00011        25071.088
        -0.89592          1.11049         63.62664         64.59938          0.01698          0.00011        25073.046
        -0.89388          1.10592         63.36462         64.34433          0.01710          0.00011        25075.000
        -0.89184          1.10139         63.10497         64.09151          0.01722          0.00011        25076.950
        -0.88980          1.09690         62.84761         63.84086          0.01734          0.00011        25078.896
        -0.88776          1.09245         62.59250         63.59230          0.01745          0.00011        25080.838
        -0.88571          1.08803         62.33955         63.34579          0.01756          0.00011        25082.777
        -0.88367          1.08365         62.08872         63.10127          0.01767          0.00011        25084.712
        -0.88163          1.07931         61.83994         62.85868          0.01778          0.00011        25086.643
        -0.87959          1.07500         61.59317         62.61797          0.01789          0.00011        25088.570
        -0.87755          1.07073         61.34834         62.37909          0.01799          0.00011        25090.493
        -0.87551          1.06649         61.10542         62.14199          0.01809          0.00011        25092.413
