detailed model output for Uranus's 1-bar reference geoid, assuming rigid rotation with period 18.25 h.
see uranus_model_symmetric_wind.txt for the corresponding shape model including the effect of the latitudinally varying atmospheric rotation.
that model used the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2) and this reference geoid satisfies the same r_pol.
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
        -1.00000          1.57080         90.00000         90.00000          0.00000          0.00010        24968.435
        -0.99981          1.55153         88.89630         88.93558          0.00069          0.00010        24968.600
        -0.99963          1.54355         88.43911         88.49465          0.00097          0.00010        24968.765
        -0.99944          1.53743         88.08828         88.15629          0.00119          0.00010        24968.930
        -0.99926          1.53227         87.79250         87.87102          0.00137          0.00010        24969.095
        -0.99907          1.52772         87.53191         87.61967          0.00153          0.00010        24969.260
        -0.99889          1.52361         87.29630         87.39241          0.00168          0.00010        24969.424
        -0.99870          1.51983         87.07962         87.18342          0.00181          0.00010        24969.589
        -0.99852          1.51631         86.87793         86.98887          0.00194          0.00010        24969.754
        -0.99833          1.51300         86.68850         86.80614          0.00205          0.00010        24969.918
        -0.99814          1.50987         86.50932         86.63330          0.00216          0.00010        24970.083
        -0.99796          1.50690         86.33888         86.46889          0.00227          0.00010        24970.248
        -0.99592          1.48041         84.82152         85.00495          0.00320          0.00010        24972.057
        -0.99388          1.46008         83.65660         83.88073          0.00391          0.00010        24973.863
        -0.99184          1.44293         82.67402         82.93222          0.00451          0.00010        24975.666
        -0.98980          1.42782         81.80791         82.09590          0.00503          0.00010        24977.466
        -0.98776          1.41414         81.02449         81.33922          0.00549          0.00010        24979.262
        -0.98571          1.40156         80.30368         80.64283          0.00592          0.00010        24981.055
        -0.98367          1.38985         79.63242         79.99413          0.00631          0.00010        24982.846
        -0.98163          1.37884         79.00164         79.38438          0.00668          0.00010        24984.633
        -0.97959          1.36842         78.40473         78.80721          0.00702          0.00010        24986.416
        -0.97755          1.35851         77.83669         78.25782          0.00735          0.00010        24988.197
        -0.97551          1.34903         77.29366         77.73246          0.00766          0.00010        24989.974
        -0.97347          1.33993         76.77255         77.22818          0.00795          0.00010        24991.749
        -0.97143          1.33118         76.27087         76.74256          0.00823          0.00010        24993.520
        -0.96939          1.32272         75.78655         76.27363          0.00850          0.00010        24995.287
        -0.96735          1.31455         75.31789         75.81973          0.00876          0.00010        24997.052
        -0.96531          1.30661         74.86342         75.37946          0.00901          0.00010        24998.813
        -0.96327          1.29891         74.42190         74.95162          0.00925          0.00010        25000.571
        -0.96122          1.29141         73.99227         74.53518          0.00948          0.00010        25002.326
        -0.95918          1.28410         73.57358         74.12924          0.00970          0.00010        25004.078
        -0.95714          1.27697         73.16502         73.73302          0.00991          0.00010        25005.827
        -0.95510          1.27000         72.76587         73.34582          0.01012          0.00010        25007.572
        -0.95306          1.26319         72.37549         72.96702          0.01032          0.00010        25009.314
        -0.95102          1.25652         71.99331         72.59608          0.01052          0.00010        25011.053
        -0.94898          1.24998         71.61881         72.23250          0.01071          0.00010        25012.788
        -0.94694          1.24357         71.25154         71.87585          0.01090          0.00010        25014.521
        -0.94490          1.23728         70.89108         71.52571          0.01108          0.00010        25016.250
        -0.94286          1.23110         70.53705         71.18173          0.01125          0.00010        25017.976
        -0.94082          1.22503         70.18910         70.84356          0.01142          0.00010        25019.698
        -0.93878          1.21906         69.84693         70.51092          0.01159          0.00010        25021.417
        -0.93673          1.21318         69.51023         70.18352          0.01175          0.00010        25023.134
        -0.93469          1.20740         69.17874         69.86110          0.01191          0.00010        25024.846
        -0.93265          1.20170         68.85223         69.54343          0.01206          0.00010        25026.556
        -0.93061          1.19608         68.53045         69.23029          0.01221          0.00010        25028.262
        -0.92857          1.19055         68.21321         68.92148          0.01236          0.00010        25029.965
        -0.92653          1.18508         67.90030         68.61681          0.01251          0.00010        25031.665
        -0.92449          1.17970         67.59155         68.31610          0.01265          0.00010        25033.362
        -0.92245          1.17438         67.28677         68.01920          0.01278          0.00010        25035.055
        -0.92041          1.16912         66.98583         67.72594          0.01292          0.00010        25036.745
        -0.91837          1.16393         66.68855         67.43620          0.01305          0.00010        25038.431
        -0.91633          1.15881         66.39482         67.14982          0.01318          0.00010        25040.115
        -0.91429          1.15374         66.10449         66.86669          0.01330          0.00010        25041.795
        -0.91224          1.14873         65.81745         66.58669          0.01343          0.00010        25043.472
        -0.91020          1.14378         65.53357         66.30971          0.01355          0.00010        25045.145
        -0.90816          1.13888         65.25275         66.03564          0.01366          0.00010        25046.816
        -0.90612          1.13403         64.97488         65.76439          0.01378          0.00010        25048.482
        -0.90408          1.12923         64.69988         65.49586          0.01389          0.00010        25050.146
        -0.90204          1.12447         64.42763         65.22995          0.01400          0.00010        25051.806
        -0.90000          1.11977         64.15807         64.96660          0.01411          0.00010        25053.463
        -0.89796          1.11511         63.89109         64.70571          0.01422          0.00010        25055.117
        -0.89592          1.11049         63.62664         64.44721          0.01432          0.00010        25056.768
        -0.89388          1.10592         63.36462         64.19103          0.01442          0.00010        25058.415
        -0.89184          1.10139         63.10497         63.93710          0.01452          0.00010        25060.058
        -0.88980          1.09690         62.84761         63.68535          0.01462          0.00010        25061.699
        -0.88776          1.09245         62.59250         63.43573          0.01472          0.00010        25063.336
        -0.88571          1.08803         62.33955         63.18817          0.01481          0.00010        25064.970
        -0.88367          1.08365         62.08872         62.94261          0.01490          0.00010        25066.600
        -0.88163          1.07931         61.83994         62.69901          0.01499          0.00010        25068.227
        -0.87959          1.07500         61.59317         62.45731          0.01508          0.00010        25069.851
        -0.87755          1.07073         61.34834         62.21745          0.01517          0.00010        25071.472
        -0.87551          1.06649         61.10542         61.97940          0.01525          0.00010        25073.089
        -0.87347          1.06228         60.86434         61.74310          0.01534          0.00010        25074.703
        -0.87143          1.05811         60.62508         61.50851          0.01542          0.00010        25076.313
        -0.86939          1.05396         60.38757         61.27559          0.01550          0.00010        25077.920
        -0.86735          1.04985         60.15179         61.04431          0.01558          0.00010        25079.524
        -0.86531          1.04576         59.91768         60.81461          0.01565          0.00010        25081.124
        -0.86327          1.04170         59.68521         60.58646          0.01573          0.00010        25082.721
        -0.86122          1.03767         59.45435         60.35983          0.01580          0.00010        25084.315
        -0.85918          1.03367         59.22505         60.13468          0.01588          0.00010        25085.905
        -0.85714          1.02970         58.99728         59.91098          0.01595          0.00010        25087.492
