detailed model output for Neptune's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric H-BAND 2014 wind profile from Tollefson et al. (2018, Icarus 311) Table 1.
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
        -0.85510          1.02575         58.77101         59.75870          0.01724          0.00011        24457.969
        -0.85306          1.02182         58.54620         59.53600          0.01728          0.00011        24459.625
        -0.85102          1.01793         58.32283         59.31466          0.01731          0.00011        24461.274
        -0.84898          1.01405         58.10086         59.09466          0.01735          0.00011        24462.916
        -0.84694          1.01020         57.88026         58.87596          0.01738          0.00011        24464.552
        -0.84490          1.00637         57.66100         58.65854          0.01741          0.00011        24466.181
        -0.84286          1.00257         57.44307         58.44238          0.01744          0.00011        24467.802
        -0.84082          0.99879         57.22642         58.22745          0.01747          0.00011        24469.418
        -0.83878          0.99503         57.01104         58.01372          0.01750          0.00011        24471.026
        -0.83673          0.99129         56.79690         57.80117          0.01753          0.00011        24472.628
        -0.83469          0.98758         56.58398         57.58978          0.01755          0.00011        24474.224
        -0.83265          0.98388         56.37224         57.37952          0.01758          0.00011        24475.813
        -0.83061          0.98021         56.16168         57.17037          0.01760          0.00011        24477.396
        -0.82857          0.97655         55.95227         56.96232          0.01763          0.00011        24478.972
        -0.82653          0.97292         55.74398         56.75534          0.01765          0.00011        24480.542
        -0.82449          0.96930         55.53680         56.54941          0.01767          0.00011        24482.106
        -0.82245          0.96570         55.33070         56.34452          0.01769          0.00011        24483.663
        -0.82041          0.96212         55.12567         56.14064          0.01771          0.00011        24485.214
        -0.81837          0.95856         54.92169         55.93775          0.01773          0.00011        24486.760
        -0.81633          0.95502         54.71874         55.73585          0.01775          0.00011        24488.299
        -0.81429          0.95150         54.51680         55.53490          0.01777          0.00011        24489.832
        -0.81224          0.94799         54.31585         55.33490          0.01779          0.00011        24491.359
        -0.81020          0.94450         54.11588         55.13583          0.01780          0.00011        24492.880
        -0.80816          0.94103         53.91686         54.93767          0.01782          0.00011        24494.396
        -0.80612          0.93757         53.71880         54.74041          0.01783          0.00011        24495.905
        -0.80408          0.93413         53.52166         54.54403          0.01784          0.00011        24497.409
        -0.80204          0.93070         53.32543         54.34852          0.01786          0.00011        24498.906
        -0.80000          0.92730         53.13010         54.15386          0.01787          0.00011        24500.399
        -0.79796          0.92390         52.93566         53.96004          0.01788          0.00011        24501.885
        -0.79592          0.92052         52.74208         53.76705          0.01789          0.00011        24503.365
        -0.79388          0.91716         52.54937         53.57488          0.01790          0.00011        24504.840
        -0.79184          0.91381         52.35749         53.38350          0.01791          0.00011        24506.310
        -0.78980          0.91048         52.16644         53.19291          0.01792          0.00011        24507.774
        -0.78776          0.90716         51.97621         53.00310          0.01792          0.00011        24509.232
        -0.78571          0.90385         51.78679         52.81405          0.01793          0.00011        24510.685
        -0.78367          0.90056         51.59816         52.62575          0.01793          0.00011        24512.132
        -0.78163          0.89728         51.41030         52.43819          0.01794          0.00011        24513.574
        -0.77959          0.89401         51.22322         52.25137          0.01794          0.00011        24515.010
        -0.77755          0.89076         51.03689         52.06526          0.01795          0.00011        24516.441
        -0.77551          0.88752         50.85131         51.87986          0.01795          0.00011        24517.867
        -0.77347          0.88430         50.66647         51.69516          0.01795          0.00011        24519.287
        -0.77143          0.88108         50.48235         51.51115          0.01796          0.00011        24520.702
        -0.76939          0.87788         50.29894         51.32782          0.01796          0.00011        24522.111
        -0.76735          0.87469         50.11624         51.14515          0.01796          0.00011        24523.516
        -0.76531          0.87152         49.93423         50.96315          0.01796          0.00011        24524.915
        -0.76327          0.86835         49.75291         50.78179          0.01796          0.00011        24526.309
        -0.76122          0.86520         49.57227         50.60107          0.01796          0.00011        24527.698
        -0.75918          0.86206         49.39229         50.42099          0.01795          0.00011        24529.081
        -0.75714          0.85893         49.21296         50.24153          0.01795          0.00011        24530.460
        -0.75510          0.85581         49.03429         50.06269          0.01795          0.00011        24531.833
        -0.75306          0.85270         48.85625         49.88445          0.01795          0.00011        24533.201
        -0.75102          0.84961         48.67885         49.70681          0.01794          0.00011        24534.564
        -0.74898          0.84652         48.50206         49.52976          0.01794          0.00011        24535.923
        -0.74694          0.84345         48.32590         49.35329          0.01793          0.00011        24537.276
        -0.74490          0.84038         48.15034         49.17740          0.01793          0.00011        24538.624
        -0.74286          0.83733         47.97537         49.00207          0.01792          0.00011        24539.967
        -0.74082          0.83428         47.80100         48.82731          0.01791          0.00011        24541.305
        -0.73878          0.83125         47.62721         48.65310          0.01791          0.00011        24542.639
        -0.73673          0.82823         47.45400         48.47943          0.01790          0.00011        24543.967
        -0.73469          0.82522         47.28136         48.30631          0.01789          0.00011        24545.290
        -0.73265          0.82221         47.10927         48.13371          0.01788          0.00011        24546.609
        -0.73061          0.81922         46.93775         47.96165          0.01787          0.00011        24547.923
        -0.72857          0.81623         46.76677         47.79010          0.01786          0.00011        24549.232
        -0.72653          0.81326         46.59633         47.61906          0.01785          0.00011        24550.536
        -0.72449          0.81029         46.42642         47.44853          0.01784          0.00011        24551.835
        -0.72245          0.80734         46.25704         47.27850          0.01783          0.00011        24553.130
        -0.72041          0.80439         46.08819         47.10896          0.01782          0.00011        24554.419
        -0.71837          0.80145         45.91985         46.93992          0.01780          0.00011        24555.704
        -0.71633          0.79852         45.75202         46.77135          0.01779          0.00011        24556.985
        -0.71429          0.79560         45.58469         46.60326          0.01778          0.00011        24558.260
        -0.71224          0.79269         45.41786         46.43564          0.01776          0.00011        24559.531
        -0.71020          0.78979         45.25152         46.26849          0.01775          0.00011        24560.797
        -0.70816          0.78689         45.08567         46.10180          0.01773          0.00011        24562.059
        -0.70612          0.78401         44.92030         45.93556          0.01772          0.00011        24563.316
        -0.70408          0.78113         44.75540         45.76977          0.01770          0.00011        24564.568
        -0.70204          0.77826         44.59097         45.60443          0.01769          0.00011        24565.816
        -0.70000          0.77540         44.42700         45.43952          0.01767          0.00011        24567.059
        -0.69796          0.77254         44.26350         45.27505          0.01765          0.00011        24568.297
        -0.69592          0.76970         44.10044         45.11101          0.01764          0.00011        24569.531
        -0.69388          0.76686         43.93784         44.94739          0.01762          0.00011        24570.761
        -0.69184          0.76403         43.77568         44.78419          0.01760          0.00011        24571.985
        -0.68980          0.76121         43.61396         44.62141          0.01758          0.00011        24573.206
        -0.68776          0.75839         43.45267         44.45904          0.01756          0.00010        24574.422
        -0.68571          0.75558         43.29181         44.29707          0.01755          0.00010        24575.633
        -0.68367          0.75278         43.13137         44.13550          0.01753          0.00010        24576.840
        -0.68163          0.74999         42.97136         43.97434          0.01751          0.00010        24578.042
        -0.67959          0.74721         42.81176         43.81356          0.01748          0.00010        24579.240
        -0.67755          0.74443         42.65257         43.65317          0.01746          0.00010        24580.434
        -0.67551          0.74166         42.49378         43.49317          0.01744          0.00010        24581.623
        -0.67347          0.73889         42.33540         43.33355          0.01742          0.00010        24582.807
        -0.67143          0.73613         42.17742         43.17430          0.01740          0.00010        24583.988
        -0.66939          0.73338         42.01983         43.01543          0.01738          0.00010        24585.163
        -0.66735          0.73064         41.86263         42.85692          0.01735          0.00010        24586.335
        -0.66531          0.72790         41.70581         42.69878          0.01733          0.00010        24587.502
        -0.66327          0.72517         41.54938         42.54100          0.01731          0.00010        24588.665
        -0.66122          0.72245         41.39333         42.38357          0.01728          0.00010        24589.823
        -0.65918          0.71973         41.23764         42.22650          0.01726          0.00010        24590.977
        -0.65714          0.71702         41.08233         42.06978          0.01723          0.00010        24592.127
        -0.65510          0.71432         40.92739         41.91341          0.01721          0.00010        24593.273
        -0.65306          0.71162         40.77280         41.75737          0.01718          0.00010        24594.414
        -0.65102          0.70893         40.61858         41.60168          0.01716          0.00010        24595.551
        -0.64898          0.70624         40.46471         41.44632          0.01713          0.00010        24596.683
        -0.64694          0.70356         40.31119         41.29129          0.01711          0.00010        24597.812
        -0.64490          0.70089         40.15803         41.13660          0.01708          0.00010        24598.936
        -0.64286          0.69822         40.00520         40.98222          0.01705          0.00010        24600.056
        -0.64082          0.69556         39.85272         40.82817          0.01702          0.00010        24601.171
        -0.63878          0.69291         39.70057         40.67444          0.01700          0.00010        24602.283
        -0.63673          0.69026         39.54876         40.52103          0.01697          0.00010        24603.390
        -0.63469          0.68761         39.39728         40.36793          0.01694          0.00010        24604.493
        -0.63265          0.68497         39.24613         40.21514          0.01691          0.00010        24605.592
        -0.63061          0.68234         39.09531         40.06265          0.01688          0.00010        24606.686
        -0.62857          0.67972         38.94480         39.91047          0.01685          0.00010        24607.777
        -0.62653          0.67709         38.79462         39.75859          0.01682          0.00010        24608.863
