detailed model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
        -0.85918          1.03367         59.22505         60.52221          0.02264         -0.00012        25136.216
        -0.85714          1.02970         58.99728         60.29955          0.02273         -0.00012        25138.484
        -0.85510          1.02575         58.77101         60.07822          0.02282         -0.00012        25140.745
        -0.85306          1.02182         58.54620         59.85818          0.02290         -0.00012        25143.000
        -0.85102          1.01793         58.32283         59.63940          0.02298         -0.00012        25145.249
        -0.84898          1.01405         58.10086         59.42184          0.02306         -0.00012        25147.492
        -0.84694          1.01020         57.88026         59.20550          0.02313         -0.00012        25149.728
        -0.84490          1.00637         57.66100         58.99033          0.02320         -0.00012        25151.958
        -0.84286          1.00257         57.44307         58.77631          0.02327         -0.00012        25154.182
        -0.84082          0.99879         57.22642         58.56342          0.02333         -0.00012        25156.398
        -0.83878          0.99503         57.01104         58.35162          0.02340         -0.00012        25158.609
        -0.83673          0.99129         56.79690         58.14091          0.02346         -0.00012        25160.812
        -0.83469          0.98758         56.58398         57.93126          0.02351         -0.00012        25163.008
        -0.83265          0.98388         56.37224         57.72264          0.02357         -0.00012        25165.198
        -0.83061          0.98021         56.16168         57.51504          0.02362         -0.00012        25167.381
        -0.82857          0.97655         55.95227         57.30843          0.02367         -0.00012        25169.556
        -0.82653          0.97292         55.74398         57.10280          0.02372         -0.00012        25171.725
        -0.82449          0.96930         55.53680         56.89812          0.02376         -0.00012        25173.886
        -0.82245          0.96570         55.33070         56.69439          0.02380         -0.00012        25176.040
        -0.82041          0.96212         55.12567         56.49158          0.02384         -0.00012        25178.186
        -0.81837          0.95856         54.92169         56.28968          0.02388         -0.00012        25180.325
        -0.81633          0.95502         54.71874         56.08867          0.02391         -0.00012        25182.457
        -0.81429          0.95150         54.51680         55.88854          0.02394         -0.00012        25184.581
        -0.81224          0.94799         54.31585         55.68926          0.02397         -0.00012        25186.697
        -0.81020          0.94450         54.11588         55.49083          0.02400         -0.00012        25188.806
        -0.80816          0.94103         53.91686         55.29323          0.02402         -0.00012        25190.907
        -0.80612          0.93757         53.71880         55.09645          0.02404         -0.00012        25193.001
        -0.80408          0.93413         53.52166         54.90047          0.02406         -0.00012        25195.086
        -0.80204          0.93070         53.32543         54.70529          0.02408         -0.00012        25197.164
        -0.80000          0.92730         53.13010         54.51089          0.02410         -0.00012        25199.234
        -0.79796          0.92390         52.93566         54.31726          0.02411         -0.00012        25201.296
        -0.79592          0.92052         52.74208         54.12439          0.02413         -0.00012        25203.350
        -0.79388          0.91716         52.54937         53.93226          0.02414         -0.00012        25205.396
        -0.79184          0.91381         52.35749         53.74087          0.02414         -0.00012        25207.435
        -0.78980          0.91048         52.16644         53.55020          0.02415         -0.00012        25209.465
        -0.78776          0.90716         51.97621         53.36025          0.02416         -0.00012        25211.487
        -0.78571          0.90385         51.78679         53.17100          0.02416         -0.00012        25213.501
        -0.78367          0.90056         51.59816         52.98245          0.02416         -0.00012        25215.507
        -0.78163          0.89728         51.41030         52.79458          0.02416         -0.00012        25217.505
        -0.77959          0.89401         51.22322         52.60739          0.02416         -0.00012        25219.494
        -0.77755          0.89076         51.03689         52.42087          0.02415         -0.00012        25221.476
        -0.77551          0.88752         50.85131         52.23501          0.02415         -0.00012        25223.450
        -0.77347          0.88430         50.66647         52.04980          0.02414         -0.00012        25225.415
        -0.77143          0.88108         50.48235         51.86524          0.02414         -0.00012        25227.372
        -0.76939          0.87788         50.29894         51.68131          0.02413         -0.00012        25229.321
        -0.76735          0.87469         50.11624         51.49801          0.02412         -0.00012        25231.263
        -0.76531          0.87152         49.93423         51.31532          0.02410         -0.00012        25233.195
        -0.76327          0.86835         49.75291         51.13326          0.02409         -0.00012        25235.120
        -0.76122          0.86520         49.57227         50.95179          0.02408         -0.00012        25237.037
        -0.75918          0.86206         49.39229         50.77093          0.02406         -0.00012        25238.946
        -0.75714          0.85893         49.21296         50.59066          0.02405         -0.00012        25240.846
        -0.75510          0.85581         49.03429         50.41097          0.02403         -0.00012        25242.738
        -0.75306          0.85270         48.85625         50.23186          0.02401         -0.00012        25244.623
        -0.75102          0.84961         48.67885         50.05332          0.02399         -0.00011        25246.499
        -0.74898          0.84652         48.50206         49.87535          0.02397         -0.00011        25248.367
        -0.74694          0.84345         48.32590         49.69794          0.02395         -0.00011        25250.228
        -0.74490          0.84038         48.15034         49.52108          0.02392         -0.00011        25252.080
        -0.74286          0.83733         47.97537         49.34477          0.02390         -0.00011        25253.924
        -0.74082          0.83428         47.80100         49.16900          0.02388         -0.00011        25255.761
        -0.73878          0.83125         47.62721         48.99377          0.02385         -0.00011        25257.589
        -0.73673          0.82823         47.45400         48.81906          0.02382         -0.00011        25259.410
        -0.73469          0.82522         47.28136         48.64488          0.02380         -0.00011        25261.223
        -0.73265          0.82221         47.10927         48.47122          0.02377         -0.00011        25263.028
        -0.73061          0.81922         46.93775         48.29808          0.02374         -0.00011        25264.825
        -0.72857          0.81623         46.76677         48.12544          0.02371         -0.00011        25266.614
        -0.72653          0.81326         46.59633         47.95330          0.02368         -0.00011        25268.396
        -0.72449          0.81029         46.42642         47.78166          0.02365         -0.00011        25270.169
        -0.72245          0.80734         46.25704         47.61051          0.02362         -0.00011        25271.936
        -0.72041          0.80439         46.08819         47.43985          0.02359         -0.00011        25273.694
        -0.71837          0.80145         45.91985         47.26968          0.02356         -0.00011        25275.445
        -0.71633          0.79852         45.75202         47.09998          0.02353         -0.00011        25277.189
        -0.71429          0.79560         45.58469         46.93075          0.02349         -0.00011        25278.925
        -0.71224          0.79269         45.41786         46.76199          0.02346         -0.00011        25280.653
        -0.71020          0.78979         45.25152         46.59370          0.02343         -0.00011        25282.374
        -0.70816          0.78689         45.08567         46.42586          0.02339         -0.00011        25284.087
        -0.70612          0.78401         44.92030         46.25848          0.02336         -0.00011        25285.793
        -0.70408          0.78113         44.75540         46.09154          0.02332         -0.00011        25287.492
        -0.70204          0.77826         44.59097         45.92505          0.02328         -0.00011        25289.184
        -0.70000          0.77540         44.42700         45.75900          0.02325         -0.00011        25290.868
