detailed model output for Uranus's 1-bar reference geoid, assuming rigid rotation with period 17.25 h.
see uranus_model_symmetric_wind.txt for the corresponding shape model including the effect of the latitudinally varying atmospheric rotation.
that model used the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2) and this reference geoid satisfies the same r_pol.
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
        -0.85918          1.03367         59.22505         60.21195          0.01722          0.00010        25095.810
        -0.85714          1.02970         58.99728         59.98862          0.01730          0.00010        25097.533
        -0.85510          1.02575         58.77101         59.76669          0.01738          0.00010        25099.251
        -0.85306          1.02182         58.54620         59.54614          0.01745          0.00010        25100.967
        -0.85102          1.01793         58.32283         59.32694          0.01753          0.00010        25102.678
        -0.84898          1.01405         58.10086         59.10906          0.01760          0.00010        25104.386
        -0.84694          1.01020         57.88026         58.89246          0.01767          0.00010        25106.091
        -0.84490          1.00637         57.66100         58.67714          0.01773          0.00010        25107.792
        -0.84286          1.00257         57.44307         58.46304          0.01780          0.00010        25109.489
        -0.84082          0.99879         57.22642         58.25016          0.01787          0.00010        25111.182
        -0.83878          0.99503         57.01104         58.03847          0.01793          0.00010        25112.872
        -0.83673          0.99129         56.79690         57.82794          0.01799          0.00010        25114.559
        -0.83469          0.98758         56.58398         57.61855          0.01806          0.00010        25116.241
        -0.83265          0.98388         56.37224         57.41028          0.01812          0.00010        25117.920
        -0.83061          0.98021         56.16168         57.20310          0.01818          0.00010        25119.596
        -0.82857          0.97655         55.95227         56.99700          0.01823          0.00010        25121.267
        -0.82653          0.97292         55.74398         56.79196          0.01829          0.00010        25122.935
        -0.82449          0.96930         55.53680         56.58795          0.01835          0.00010        25124.600
        -0.82245          0.96570         55.33070         56.38496          0.01840          0.00010        25126.260
        -0.82041          0.96212         55.12567         56.18297          0.01845          0.00010        25127.917
        -0.81837          0.95856         54.92169         55.98196          0.01851          0.00010        25129.571
        -0.81633          0.95502         54.71874         55.78190          0.01856          0.00010        25131.220
        -0.81429          0.95150         54.51680         55.58280          0.01861          0.00010        25132.867
        -0.81224          0.94799         54.31585         55.38462          0.01865          0.00010        25134.509
        -0.81020          0.94450         54.11588         55.18736          0.01870          0.00010        25136.148
        -0.80816          0.94103         53.91686         54.99099          0.01875          0.00010        25137.783
        -0.80612          0.93757         53.71880         54.79551          0.01879          0.00010        25139.414
        -0.80408          0.93413         53.52166         54.60089          0.01884          0.00010        25141.042
        -0.80204          0.93070         53.32543         54.40712          0.01888          0.00010        25142.665
        -0.80000          0.92730         53.13010         54.21419          0.01892          0.00010        25144.286
