shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.236151 -3.604810 -0.089262  0.825435  0.289310 -0.177584 -0.240643 -0.027115  0.075198  0.045899
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -1.0000000000     1.5707963268    90.0000000000    90.0000000000     0.0000000000     0.0001213071 24968.5194754590
   -0.9998144712     1.5515331758    88.8963027451    88.9522783091     0.0009769579     0.0001213094 24968.7544389034
   -0.9996289425     1.5435536961    88.4391122386    88.5182599944     0.0013813889     0.0001213115 24968.9893718757
   -0.9994434137     1.5374305386    88.0882811581    88.1852001498     0.0016915555     0.0001213135 24969.2242805747
   -0.9992578850     1.5322682374    87.7925030866    87.9043959669     0.0019528992     0.0001213155 24969.4591644008
   -0.9990723562     1.5277199472    87.5319052508    87.6569833394     0.0021830245     0.0001213174 24969.6940223917
   -0.9988868275     1.5236077873    87.2962958471    87.4332878369     0.0023909613     0.0001213192 24969.9288536939
   -0.9987012987     1.5198260904    87.0796205724    87.2275625797     0.0025820751     0.0001213210 24970.1636575898
   -0.9985157699     1.5163060092    86.8779347757    87.0360632141     0.0027598619     0.0001213227 24970.3984334749
   -0.9983302412     1.5129997231    86.6884985354    86.8561889836     0.0029267504     0.0001213243 24970.6331808344
   -0.9981447124     1.5098724146    86.5093169626    86.6860463380     0.0030845095     0.0001213258 24970.8678992242
   -0.9979591837     1.5068978001    86.3388841007    86.5242058337     0.0032344744     0.0001213273 24971.1025882565
