shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.247110 -3.613924 -0.119852  0.825001  0.318992 -0.184301 -0.288192 -0.081634  0.113690  0.091239
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -1.0000000000     1.5707963268    90.0000000000    90.0000000000     0.0000000000     0.0001215319 24967.9102480122
   -0.9998144712     1.5515331758    88.8963027451    88.9524415789     0.0009798075     0.0001215373 24968.1458871171
   -0.9996289425     1.5435536961    88.4391122386    88.5184940477     0.0013854739     0.0001215425 24968.3815071625
   -0.9994434137     1.5374305386    88.0882811581    88.1854905598     0.0016966241     0.0001215476 24968.6171125084
   -0.9992578850     1.5322682374    87.7925030866    87.9047355193     0.0019588255     0.0001215525 24968.8527016512
   -0.9990723562     1.5277199472    87.5319052508    87.6573675636     0.0021897304     0.0001215572 24969.0882730946
   -0.9988868275     1.5236077873    87.2962958471    87.4337136104     0.0023983924     0.0001215618 24969.3238256221
   -0.9987012987     1.5198260904    87.0796205724    87.2280276217     0.0025901916     0.0001215663 24969.5593582477
   -0.9985157699     1.5163060092    86.8779347757    87.0365657096     0.0027686321     0.0001215706 24969.7948701587
   -0.9983302412     1.5129997231    86.6884985354    86.8567274640     0.0029361487     0.0001215748 24970.0303606724
   -0.9981447124     1.5098724146    86.5093169626    86.6866195777     0.0030945144     0.0001215788 24970.2658292055
   -0.9979591837     1.5068978001    86.3388841007    86.5248127837     0.0032450677     0.0001215827 24970.5012752529
