shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.231309 -3.594881 -0.109060  0.831030  0.298835 -0.227136 -0.223498 -0.023273  0.243259  0.054566
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -1.0000000000     1.5707963268    90.0000000000    90.0000000000     0.0000000000     0.0001205399 24968.8270195657
   -0.9998144712     1.5515331758    88.8963027451    88.9517374323     0.0009675178     0.0001205614 24969.0596869455
   -0.9996289425     1.5435536961    88.4391122386    88.5175146959     0.0013683810     0.0001205826 24969.2923849851
   -0.9994434137     1.5374305386    88.0882811581    88.1843110293     0.0016760374     0.0001206035 24969.5251175072
   -0.9992578850     1.5322682374    87.7925030866    87.9033962752     0.0019354513     0.0001206240 24969.7578817587
   -0.9990723562     1.5277199472    87.5319052508    87.6558954846     0.0021640378     0.0001206443 24969.9906753391
   -0.9988868275     1.5236077873    87.2962958471    87.4321282913     0.0023707234     0.0001206642 24970.2234963634
   -0.9987012987     1.5198260904    87.0796205724    87.2263446813     0.0025608188     0.0001206839 24970.4563433300
   -0.9985157699     1.5163060092    86.8779347757    87.0347976252     0.0027377732     0.0001207033 24970.6892150140
   -0.9983302412     1.5129997231    86.6884985354    86.8548847209     0.0029039868     0.0001207224 24970.9221103948
   -0.9981447124     1.5098724146    86.5093169626    86.6847111711     0.0030612064     0.0001207412 24971.1550286056
   -0.9979591837     1.5068978001    86.3388841007    86.5228465509     0.0032107505     0.0001207597 24971.3879688992
