shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.244024 -3.620464 -0.104433  0.863087  0.316380 -0.210554 -0.242473 -0.036460  0.060080  0.026251
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -1.0000000000     1.5707963268    90.0000000000    90.0000000000     0.0000000000     0.0001215635 24968.0248092516
   -0.9998144712     1.5515331758    88.8963027451    88.9524587561     0.0009801073     0.0001215602 24968.2605385923
   -0.9996289425     1.5435536961    88.4391122386    88.5185095098     0.0013857438     0.0001215569 24968.4962239878
   -0.9994434137     1.5374305386    88.0882811581    88.1854988974     0.0016967696     0.0001215535 24968.7318651776
   -0.9992578850     1.5322682374    87.7925030866    87.9047331395     0.0019587839     0.0001215502 24968.9674621310
   -0.9990723562     1.5277199472    87.5319052508    87.6573516998     0.0021894536     0.0001215468 24969.2030148440
   -0.9988868275     1.5236077873    87.2962958471    87.4336820875     0.0023978422     0.0001215435 24969.4385233167
   -0.9987012987     1.5198260904    87.0796205724    87.2279784637     0.0025893337     0.0001215401 24969.6739875492
   -0.9985157699     1.5163060092    86.8779347757    87.0364973342     0.0027674387     0.0001215367 24969.9094075412
   -0.9983302412     1.5129997231    86.6884985354    86.8566384792     0.0029345956     0.0001215333 24970.1447832913
   -0.9981447124     1.5098724146    86.5093169626    86.6865087532     0.0030925802     0.0001215300 24970.3801147974
   -0.9979591837     1.5068978001    86.3388841007    86.5246790299     0.0032427332     0.0001215266 24970.6154020568
