shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.251919 -3.595810 -0.078732  0.829230  0.338656 -0.151241 -0.250562 -0.052349  0.066554  0.035832
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -1.0000000000     1.5707963268    90.0000000000    90.0000000000     0.0000000000     0.0001211647 24967.9676384229
   -0.9998144712     1.5515331758    88.8963027451    88.9521706939     0.0009750797     0.0001211646 24968.2021514516
   -0.9996289425     1.5435536961    88.4391122386    88.5181054604     0.0013786918     0.0001211644 24968.4366290959
   -0.9994434137     1.5374305386    88.0882811581    88.1850080784     0.0016882032     0.0001211642 24968.6710735036
   -0.9992578850     1.5322682374    87.7925030866    87.9041710097     0.0019489729     0.0001211639 24968.9054844339
   -0.9990723562     1.5277199472    87.5319052508    87.6567283491     0.0021785740     0.0001211637 24969.1398615268
   -0.9988868275     1.5236077873    87.2962958471    87.4330047889     0.0023860212     0.0001211634 24969.3742044651
   -0.9987012987     1.5198260904    87.0796205724    87.2272528895     0.0025766700     0.0001211630 24969.6085129824
   -0.9985157699     1.5163060092    86.8779347757    87.0357280014     0.0027540113     0.0001211627 24969.8427868539
   -0.9983302412     1.5129997231    86.6884985354    86.8558291413     0.0029204700     0.0001211623 24970.0770258878
   -0.9981447124     1.5098724146    86.5093169626    86.6856626004     0.0030778120     0.0001211619 24970.3112299180
   -0.9979591837     1.5068978001    86.3388841007    86.5237988205     0.0032273707     0.0001211614 24970.5453987989
