shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.232270 -3.581901 -0.122169  0.826792  0.336815 -0.203667 -0.202142 -0.062173  0.111307  0.068167
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -1.0000000000     1.5707963268    90.0000000000    90.0000000000     0.0000000000     0.0001209266 24968.9114878834
   -0.9998144712     1.5515331758    88.8963027451    88.9520085355     0.0009722495     0.0001209355 24969.1453136968
   -0.9996289425     1.5435536961    88.4391122386    88.5178852221     0.0013748479     0.0001209441 24969.3791311382
   -0.9994434137     1.5374305386    88.0882811581    88.1847492916     0.0016836866     0.0001209526 24969.6129442536
   -0.9992578850     1.5322682374    87.7925030866    87.9038846370     0.0019439748     0.0001209609 24969.8467515383
   -0.9990723562     1.5277199472    87.5319052508    87.6564219147     0.0021732258     0.0001209691 24970.0805515210
   -0.9988868275     1.5236077873    87.2962958471    87.4326838800     0.0023804202     0.0001209771 24970.3143430102
   -0.9987012987     1.5198260904    87.0796205724    87.2269221158     0.0025708969     0.0001209850 24970.5481250429
   -0.9985157699     1.5163060092    86.8779347757    87.0353910495     0.0027481304     0.0001209928 24970.7818968259
   -0.9983302412     1.5129997231    86.6884985354    86.8554891509     0.0029145361     0.0001210003 24971.0156576943
   -0.9981447124     1.5098724146    86.5093169626    86.6853222898     0.0030718725     0.0001210078 24971.2494070801
   -0.9979591837     1.5068978001    86.3388841007    86.5234605712     0.0032214671     0.0001210151 24971.4831444921
