shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.251890 -3.585955 -0.132423  0.827669  0.282951 -0.191351 -0.240787 -0.043554  0.094592  0.035557
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -1.0000000000     1.5707963268    90.0000000000    90.0000000000     0.0000000000     0.0001216245 24968.1193540506
   -0.9998144712     1.5515331758    88.8963027451    88.9525063608     0.0009809381     0.0001216250 24968.3552745503
   -0.9996289425     1.5435536961    88.4391122386    88.5185806321     0.0013869851     0.0001216253 24968.5911596753
   -0.9994434137     1.5374305386    88.0882811581    88.1855905724     0.0016983697     0.0001216256 24968.8270144685
   -0.9992578850     1.5322682374    87.7925030866    87.9048441807     0.0019607220     0.0001216258 24969.0628384308
   -0.9990723562     1.5277199472    87.5319052508    87.6574815584     0.0021917200     0.0001216260 24969.2986307699
   -0.9988868275     1.5236077873    87.2962958471    87.4338304689     0.0024004320     0.0001216261 24969.5343907842
   -0.9987012987     1.5198260904    87.0796205724    87.2281452937     0.0025922454     0.0001216261 24969.7701178835
   -0.9985157699     1.5163060092    86.8779347757    87.0366825650     0.0027706716     0.0001216261 24970.0058115706
   -0.9983302412     1.5129997231    86.6884985354    86.8568421191     0.0029381498     0.0001216260 24970.2414714218
   -0.9981447124     1.5098724146    86.5093169626    86.6867308414     0.0030964563     0.0001216259 24970.4770970716
   -0.9979591837     1.5068978001    86.3388841007    86.5249196210     0.0032469324     0.0001216257 24970.7126882002
