shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.251845 -3.586008 -0.132300  0.827663  0.282969 -0.191312 -0.240786 -0.043508  0.094537  0.035586
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -1.0000000000     1.5707963268    90.0000000000    90.0000000000     0.0000000000     0.0001216236 24968.1204902097
   -0.9998144712     1.5515331758    88.8963027451    88.9525057124     0.0009809268     0.0001216241 24968.3564079884
   -0.9996289425     1.5435536961    88.4391122386    88.5185797205     0.0013869692     0.0001216244 24968.5922904063
   -0.9994434137     1.5374305386    88.0882811581    88.1855894624     0.0016983503     0.0001216247 24968.8281425097
   -0.9992578850     1.5322682374    87.7925030866    87.9048429064     0.0019606997     0.0001216249 24969.0639637992
   -0.9990723562     1.5277199472    87.5319052508    87.6574801420     0.0021916953     0.0001216251 24969.2997534820
   -0.9988868275     1.5236077873    87.2962958471    87.4338289262     0.0024004051     0.0001216252 24969.5355108559
   -0.9987012987     1.5198260904    87.0796205724    87.2281436370     0.0025922165     0.0001216253 24969.7712353306
   -0.9985157699     1.5163060092    86.8779347757    87.0366808042     0.0027706409     0.0001216253 24970.0069264084
   -0.9983302412     1.5129997231    86.6884985354    86.8568402623     0.0029381174     0.0001216252 24970.2425836655
   -0.9981447124     1.5098724146    86.5093169626    86.6867288955     0.0030964224     0.0001216250 24970.4782067360
   -0.9979591837     1.5068978001    86.3388841007    86.5249175918     0.0032468969     0.0001216249 24970.7137953001
