shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.240234 -3.590259 -0.068541  0.850676  0.327969 -0.188447 -0.232866 -0.073432  0.087608  0.094770
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -1.0000000000     1.5707963268    90.0000000000    90.0000000000     0.0000000000     0.0001207885 24968.5203092339
   -0.9998144712     1.5515331758    88.8963027451    88.9519063675     0.0009704663     0.0001207968 24968.7537033659
   -0.9996289425     1.5435536961    88.4391122386    88.5177401314     0.0013723156     0.0001208048 24968.9870873031
   -0.9994434137     1.5374305386    88.0882811581    88.1845708495     0.0016805722     0.0001208127 24969.2204651579
   -0.9992578850     1.5322682374    87.7925030866    87.9036777265     0.0019403635     0.0001208204 24969.4538353878
   -0.9990723562     1.5277199472    87.5319052508    87.6561896077     0.0021691712     0.0001208280 24969.6871964877
   -0.9988868275     1.5236077873    87.2962958471    87.4324283321     0.0023759601     0.0001208354 24969.9205472393
   -0.9987012987     1.5198260904    87.0796205724    87.2266449190     0.0025660589     0.0001208426 24970.1538866578
   -0.9985157699     1.5163060092    86.8779347757    87.0350934546     0.0027429364     0.0001208498 24970.3872139328
   -0.9983302412     1.5129997231    86.6884985354    86.8551721617     0.0029090036     0.0001208567 24970.6205283840
   -0.9981447124     1.5098724146    86.5093169626    86.6849867315     0.0030660159     0.0001208635 24970.8538294311
   -0.9979591837     1.5068978001    86.3388841007    86.5231071353     0.0032152985     0.0001208702 24971.0871165716
