shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.237205 -3.591704 -0.080216  0.824356  0.335959 -0.229900 -0.236294 -0.028814  0.082752  0.075862
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -1.0000000000     1.5707963268    90.0000000000    90.0000000000     0.0000000000     0.0001210428 24968.5885121176
   -0.9998144712     1.5515331758    88.8963027451    88.9520897021     0.0009736661     0.0001210493 24968.8226790952
   -0.9996289425     1.5435536961    88.4391122386    88.5179976066     0.0013768094     0.0001210556 24969.0568303792
   -0.9994434137     1.5374305386    88.0882811581    88.1848840181     0.0016860380     0.0001210618 24969.2909702101
   -0.9992578850     1.5322682374    87.7925030866    87.9040368654     0.0019466317     0.0001210678 24969.5250972299
   -0.9990723562     1.5277199472    87.5319052508    87.6565883962     0.0021761314     0.0001210737 24969.7592100627
   -0.9988868275     1.5236077873    87.2962958471    87.4328622279     0.0023835330     0.0001210795 24969.9933075848
   -0.9987012987     1.5198260904    87.0796205724    87.2271104006     0.0025741831     0.0001210851 24970.2273888838
   -0.9985157699     1.5163060092    86.8779347757    87.0355877233     0.0027515630     0.0001210906 24970.4614532071
   -0.9983302412     1.5129997231    86.6884985354    86.8556929013     0.0029180922     0.0001210960 24970.6954999217
   -0.9981447124     1.5098724146    86.5093169626    86.6855319812     0.0030755323     0.0001211012 24970.9295284870
   -0.9979591837     1.5068978001    86.3388841007    86.5236752065     0.0032252132     0.0001211063 24971.1635384343
