shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.234703 -3.577199 -0.131489  0.798368  0.363562 -0.233089 -0.212301 -0.051350  0.084859  0.104260
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -1.0000000000     1.5707963268    90.0000000000    90.0000000000     0.0000000000     0.0001210616 24968.8397641256
   -0.9998144712     1.5515331758    88.8963027451    88.9521070681     0.0009739692     0.0001210717 24969.0740007883
   -0.9996289425     1.5435536961    88.4391122386    88.5180258358     0.0013773021     0.0001210816 24969.3082331641
   -0.9994434137     1.5374305386    88.0882811581    88.1849230088     0.0016867185     0.0001210913 24969.5424652502
   -0.9992578850     1.5322682374    87.7925030866    87.9040869054     0.0019475050     0.0001211008 24969.7766952034
   -0.9990723562     1.5277199472    87.5319052508    87.6566498750     0.0021772044     0.0001211101 24970.0109213000
   -0.9988868275     1.5236077873    87.2962958471    87.4329355174     0.0023848121     0.0001211192 24970.2451421596
   -0.9987012987     1.5198260904    87.0796205724    87.2271959306     0.0025756759     0.0001211282 24970.4793566723
   -0.9985157699     1.5163060092    86.8779347757    87.0356858470     0.0027532756     0.0001211370 24970.7135639270
   -0.9983302412     1.5129997231    86.6884985354    86.8558039560     0.0029200304     0.0001211455 24970.9477631611
   -0.9981447124     1.5098724146    86.5093169626    86.6856562833     0.0030777017     0.0001211539 24971.1819537248
   -0.9979591837     1.5068978001    86.3388841007    86.5238130488     0.0032276190     0.0001211622 24971.4161350561
