shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.245562 -3.604303 -0.117177  0.862007  0.284795 -0.259672 -0.271530 -0.020730  0.083208  0.036802
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -1.0000000000     1.5707963268    90.0000000000    90.0000000000     0.0000000000     0.0001218523 24968.1587534449
   -0.9998144712     1.5515331758    88.8963027451    88.9526701770     0.0009837973     0.0001218492 24968.3953687456
   -0.9996289425     1.5435536961    88.4391122386    88.5188087253     0.0013909661     0.0001218461 24968.6319392071
   -0.9994434137     1.5374305386    88.0882811581    88.1858655835     0.0017031695     0.0001218430 24968.8684677464
   -0.9992578850     1.5322682374    87.7925030866    87.9051567569     0.0019661775     0.0001218399 24969.1049540397
   -0.9990723562     1.5277199472    87.5319052508    87.6578254888     0.0021977227     0.0001218367 24969.3413976014
   -0.9988868275     1.5236077873    87.2962958471    87.4342012229     0.0024069029     0.0001218335 24969.5777980037
   -0.9987012987     1.5198260904    87.0796205724    87.2285392562     0.0025991213     0.0001218302 24969.8141548874
   -0.9985157699     1.5163060092    86.8779347757    87.0370968427     0.0027779021     0.0001218268 24970.0504679495
   -0.9983302412     1.5129997231    86.6884985354    86.8572742753     0.0029456924     0.0001218235 24970.2867369313
   -0.9981447124     1.5098724146    86.5093169626    86.6871787803     0.0031042743     0.0001218201 24970.5229616092
   -0.9979591837     1.5068978001    86.3388841007    86.5253815107     0.0032549939     0.0001218167 24970.7591417872
