shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.248466 -3.586377 -0.140505  0.835707  0.324301 -0.209395 -0.271380 -0.023496  0.134375  0.073959
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -1.0000000000     1.5707963268    90.0000000000    90.0000000000     0.0000000000     0.0001211692 24968.3021922287
   -0.9998144712     1.5515331758    88.8963027451    88.9521831272     0.0009752967     0.0001211797 24968.5367425866
   -0.9996289425     1.5435536961    88.4391122386    88.5181337486     0.0013791855     0.0001211899 24968.7712897382
   -0.9994434137     1.5374305386    88.0882811581    88.1850555992     0.0016890326     0.0001212000 24969.0058376548
   -0.9992578850     1.5322682374    87.7925030866    87.9042404951     0.0019501857     0.0001212098 24969.2403844784
   -0.9990723562     1.5277199472    87.5319052508    87.6568221372     0.0021802110     0.0001212195 24969.4749284762
   -0.9988868275     1.5236077873    87.2962958471    87.4331248110     0.0023881159     0.0001212289 24969.7094682616
   -0.9987012987     1.5198260904    87.0796205724    87.2274010308     0.0025792556     0.0001212382 24969.9440027198
   -0.9985157699     1.5163060092    86.8779347757    87.0359057869     0.0027571143     0.0001212473 24970.1785309362
   -0.9983302412     1.5129997231    86.6884985354    86.8560379528     0.0029241145     0.0001212562 24970.4130521454
   -0.9981447124     1.5098724146    86.5093169626    86.6859036871     0.0030820198     0.0001212650 24970.6475656950
   -0.9979591837     1.5068978001    86.3388841007    86.5240733096     0.0032321614     0.0001212735 24970.8820710212
