shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.251925 -3.597607 -0.068940  0.829515  0.348816 -0.143925 -0.252345 -0.053953  0.061440  0.035882
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -1.0000000000     1.5707963268    90.0000000000    90.0000000000     0.0000000000     0.0001210808 24967.9399673528
   -0.9998144712     1.5515331758    88.8963027451    88.9521096107     0.0009740136     0.0001210806 24968.1742242560
   -0.9996289425     1.5435536961    88.4391122386    88.5180189910     0.0013771826     0.0001210803 24968.4084457732
   -0.9994434137     1.5374305386    88.0882811581    88.1849020793     0.0016863532     0.0001210800 24968.6426335266
   -0.9992578850     1.5322682374    87.7925030866    87.9040485099     0.0019468349     0.0001210797 24968.8767873223
   -0.9990723562     1.5277199472    87.5319052508    87.6565912848     0.0021761818     0.0001210793 24969.1109068786
   -0.9988868275     1.5236077873    87.2962958471    87.4328545372     0.0023833988     0.0001210790 24969.3449919483
   -0.9987012987     1.5198260904    87.0796205724    87.2270904962     0.0025738357     0.0001210786 24969.5790423238
   -0.9985157699     1.5163060092    86.8779347757    87.0355542970     0.0027509796     0.0001210782 24969.8130578297
   -0.9983302412     1.5129997231    86.6884985354    86.8556448075     0.0029172528     0.0001210777 24970.0470383163
   -0.9981447124     1.5098724146    86.5093169626    86.6854682106     0.0030744193     0.0001210773 24970.2809836536
   -0.9979591837     1.5068978001    86.3388841007    86.5235948666     0.0032238110     0.0001210768 24970.5148937278
