shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.234194 -3.581152 -0.115946  0.834055  0.342068 -0.206536 -0.213041 -0.034915  0.122258  0.074052
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -1.0000000000     1.5707963268    90.0000000000    90.0000000000     0.0000000000     0.0001206945 24968.8311118330
   -0.9998144712     1.5515331758    88.8963027451    88.9518428520     0.0009693577     0.0001207072 24969.0642354228
   -0.9996289425     1.5435536961    88.4391122386    88.5176548663     0.0013708275     0.0001207197 24969.2973626596
   -0.9994434137     1.5374305386    88.0882811581    88.1844719461     0.0016788460     0.0001207320 24969.5304975160
   -0.9992578850     1.5322682374    87.7925030866    87.9035698400     0.0019384805     0.0001207440 24969.7636381090
   -0.9990723562     1.5277199472    87.5319052508    87.6560760006     0.0021671884     0.0001207559 24969.9967826867
   -0.9988868275     1.5236077873    87.2962958471    87.4323114646     0.0023739204     0.0001207676 24970.2299298486
   -0.9987012987     1.5198260904    87.0796205724    87.2265268751     0.0025639987     0.0001207791 24970.4630784691
   -0.9985157699     1.5163060092    86.8779347757    87.0349759176     0.0027408850     0.0001207905 24970.6962276252
   -0.9983302412     1.5129997231    86.6884985354    86.8550565908     0.0029069865     0.0001208016 24970.9293765444
   -0.9981447124     1.5098724146    86.5093169626    86.6848744117     0.0030640555     0.0001208126 24971.1625245690
   -0.9979591837     1.5068978001    86.3388841007    86.5229992112     0.0032134149     0.0001208234 24971.3956711306
